n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads
15,50,57,RandomSampler,lucas,False,0,,123.42284518898988,,0.0,5,10
15,50,57,RandomSampler,exact,False,0,,123.42284518898988,,0.0,5,10
15,61,58,RandomSampler,lucas,False,0,,179.07195875278134,,0.001,5,10
15,61,58,RandomSampler,exact,False,0,,179.07195875278134,,0.0,5,10
15,57,59,RandomSampler,lucas,False,0,,155.0,,0.001,5,10
15,57,59,RandomSampler,exact,False,0,,155.0,,0.0,5,10
15,52,60,RandomSampler,lucas,False,0,,130.0,,0.0,5,10
15,52,60,RandomSampler,exact,False,0,,130.0,,0.001,5,10
15,42,61,RandomSampler,lucas,False,0,,88.70431474215995,,0.0,5,10
15,42,61,RandomSampler,exact,False,0,,88.70431474215995,,0.001,5,10
15,51,62,RandomSampler,lucas,False,0,,125.0,,0.0,5,10
15,51,62,RandomSampler,exact,False,0,,125.0,,0.0,5,10
15,56,63,RandomSampler,lucas,False,0,,150.0,,0.001,5,10
15,56,63,RandomSampler,exact,False,0,,150.0,,0.001,5,10
15,51,64,RandomSampler,lucas,False,0,,125.0,,0.0,5,10
15,51,64,RandomSampler,exact,False,0,,125.0,,0.001,5,10
15,56,65,RandomSampler,lucas,False,0,,150.0,,0.0,5,10
15,56,65,RandomSampler,exact,False,0,,150.0,,0.001,5,10
15,49,66,RandomSampler,lucas,False,0,,116.00000000000006,,0.0,5,10
15,49,66,RandomSampler,exact,False,0,,116.00000000000006,,0.001,5,10
15,57,67,RandomSampler,lucas,False,0,,155.0,,0.0,5,10
15,57,67,RandomSampler,exact,False,0,,155.0,,0.001,5,10
15,56,68,RandomSampler,lucas,False,0,,160.87286447558742,,0.001,5,10
15,56,68,RandomSampler,exact,False,0,,160.87286447558742,,0.0,5,10
15,57,69,RandomSampler,lucas,False,0,,155.0,,0.001,5,10
15,57,69,RandomSampler,exact,False,0,,155.0,,0.0,5,10
15,58,70,RandomSampler,lucas,False,0,,160.0,,0.001,5,10
15,58,70,RandomSampler,exact,False,0,,160.0,,0.001,5,10
15,53,71,RandomSampler,lucas,False,0,,135.0,,0.0,5,10
15,53,71,RandomSampler,exact,False,0,,135.0,,0.0,5,10
15,53,72,RandomSampler,lucas,False,0,,135.0,,0.001,5,10
15,53,72,RandomSampler,exact,False,0,,135.0,,0.0,5,10
15,56,73,RandomSampler,lucas,False,0,,150.0,,0.0,5,10
15,56,73,RandomSampler,exact,False,0,,150.0,,0.001,5,10
15,52,74,RandomSampler,lucas,False,0,,130.0,,0.0,5,10
15,52,74,RandomSampler,exact,False,0,,130.0,,0.001,5,10
15,50,75,RandomSampler,lucas,False,0,,121.89180592206328,,0.0,5,10
15,50,75,RandomSampler,exact,False,0,,121.89180592206328,,0.001,5,10
15,51,76,RandomSampler,lucas,False,0,,125.0,,0.0,5,10
15,51,76,RandomSampler,exact,False,0,,125.0,,0.002,5,10
15,45,77,RandomSampler,lucas,False,0,,100.69665652723057,,0.0,5,10
15,45,77,RandomSampler,exact,False,0,,100.69665652723057,,0.001,5,10
15,41,78,RandomSampler,lucas,False,0,,84.00000000000006,,0.0,5,10
15,41,78,RandomSampler,exact,False,0,,84.00000000000006,,0.0,5,10
15,54,79,RandomSampler,lucas,False,0,,140.0,,0.0,5,10
15,54,79,RandomSampler,exact,False,0,,140.0,,0.001,5,10
15,47,80,RandomSampler,lucas,False,0,,108.00000000000006,,0.0,5,10
15,47,80,RandomSampler,exact,False,0,,108.00000000000006,,0.001,5,10
15,63,81,RandomSampler,lucas,False,0,,188.0,,0.0,5,10
15,63,81,RandomSampler,exact,False,0,,188.0,,0.0,5,10
15,49,82,RandomSampler,lucas,False,0,,130.11076143410978,,0.001,5,10
15,49,82,RandomSampler,exact,False,0,,130.11076143410978,,0.001,5,10
15,53,83,RandomSampler,lucas,False,0,,135.0,,0.001,5,10
15,53,83,RandomSampler,exact,False,0,,135.0,,0.0,5,10
15,49,84,RandomSampler,lucas,False,0,,116.00000000000006,,0.0,5,10
15,49,84,RandomSampler,exact,False,0,,116.00000000000006,,0.001,5,10
15,45,85,RandomSampler,lucas,False,0,,100.00000000000006,,0.0,5,10
15,45,85,RandomSampler,exact,False,0,,100.00000000000006,,0.0,5,10
15,58,86,RandomSampler,lucas,False,0,,160.0,,0.001,5,10
15,58,86,RandomSampler,exact,False,0,,160.0,,0.002,5,10
15,56,87,RandomSampler,lucas,False,0,,150.0,,0.001,5,10
15,56,87,RandomSampler,exact,False,0,,150.0,,0.0,5,10
15,49,88,RandomSampler,lucas,False,0,,116.00000000000006,,0.0,5,10
15,49,88,RandomSampler,exact,False,0,,116.00000000000006,,0.0,5,10
15,56,89,RandomSampler,lucas,False,0,,150.0,,0.001,5,10
15,56,89,RandomSampler,exact,False,0,,150.0,,0.0,5,10
15,55,90,RandomSampler,lucas,False,0,,145.0,,0.001,5,10
15,55,90,RandomSampler,exact,False,0,,145.0,,0.001,5,10
15,58,91,RandomSampler,lucas,False,0,,160.0,,0.0,5,10
15,58,91,RandomSampler,exact,False,0,,160.0,,0.001,5,10
