solver_id,graph_name,num_vertices,num_edges,penalty_mode,mu_thermometer,mu_bijective,is_feasible,objective_value,spectral_cost,successive_augmentation_cost,local_search_cost,best_known_cost,relative_gap,solve_time
4,PROTEINS_g751,15,28,lucas,6,6,True,59,147,60,45,45,0.3111111111111111,0.10536670684814453
4,iscas89-s27,9,8,lucas,4,4,False,,25,12,11,11,,0.027781009674072266
4,wafa-padgett,15,27,lucas,9,9,True,77,138,82,68,68,0.1323529411764706,0.10842275619506836
5,ENZYMES_g124,14,31,lucas,7,7,False,,126,75,61,61,,0.0909271240234375
5,ENZYMES_g154,9,16,lucas,5,5,False,,56,27,26,26,,0.02770209312438965
5,ENZYMES_g487,15,27,lucas,7,7,True,75,97,49,44,44,0.7045454545454546,0.10669684410095215
5,PROTEINS_g1046,13,22,lucas,5,5,False,,109,34,41,34,,0.07323074340820312
5,PROTEINS_g670,14,27,lucas,6,6,False,,144,46,75,46,,0.08848309516906738
5,PROTEINS_g751,15,28,lucas,6,6,False,,147,60,45,45,,0.10566186904907227
5,iscas89-s27,9,8,lucas,4,4,True,11,25,12,11,11,0.0,0.02687525749206543
5,wafa-padgett,15,27,lucas,9,9,True,73,138,82,68,68,0.07352941176470588,0.10580801963806152
