solver_name,sampler_type,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
QWaveSampler_path,path,11,9,29,lucas,8,8,78.0,78,78,True,1.6188979148864746
QWaveSampler_path,path,11,10,27,lucas,9,9,64.0,64,64,True,1.6017954349517822
QWaveSampler_path,path,11,11,27,lucas,8,8,72.0,72,69,True,1.468390941619873
QWaveSampler_path,path,11,12,24,lucas,7,7,55.0,55,55,True,1.4678170680999756
QWaveSampler_path,path,11,13,29,lucas,8,8,86.0,86,85,True,1.472560167312622
QWaveSampler_path,path,11,14,22,lucas,6,6,59.0,59,59,True,1.4844512939453125
QWaveSampler_path,path,11,15,27,lucas,8,8,71.0,71,71,True,1.4839348793029785
QWaveSampler_path,path,11,16,24,lucas,7,7,63.0,63,61,True,1.4498178958892822
QWaveSampler_path,path,11,17,31,lucas,9,9,88.0,88,93,True,1.4105823040008545
QWaveSampler_path,path,11,18,29,lucas,10,10,71.0,71,69,True,1.4286150932312012
QWaveSampler_path,path,11,19,32,lucas,9,9,95.0,95,97,True,1.438992977142334
QWaveSampler_path,path,11,20,24,lucas,7,7,62.0,62,62,True,1.5669989585876465
QWaveSampler_path,path,11,21,27,lucas,8,8,73.0,73,83,True,1.5588335990905762
QWaveSampler_path,path,11,22,24,lucas,8,8,56.0,56,55,True,1.5488615036010742
QWaveSampler_path,path,11,23,31,lucas,8,8,95.0,95,93,True,1.3561196327209473
QWaveSampler_path,path,11,24,31,lucas,8,8,93.0,93,95,True,1.4611318111419678
QWaveSampler_path,path,11,25,28,lucas,9,9,75.0,75,78,True,1.4317827224731445
QWaveSampler_path,path,11,26,22,lucas,6,6,57.0,57,57,True,1.4459483623504639
QWaveSampler_path,path,11,27,26,lucas,8,8,70.0,70,68,True,1.443099021911621
QWaveSampler_path,path,11,28,27,lucas,8,8,73.0,73,70,True,1.46112060546875
QWaveSampler_path,path,11,29,29,lucas,9,9,83.0,83,84,True,1.4796087741851807
QWaveSampler_path,path,11,30,25,lucas,8,8,59.0,59,66,True,1.3729379177093506
QWaveSampler_path,path,11,31,28,lucas,8,8,78.0,78,83,True,1.4539132118225098
QWaveSampler_path,path,11,32,26,lucas,8,8,69.0,69,69,True,1.4349679946899414
QWaveSampler_path,path,11,33,31,lucas,10,10,89.0,89,99,True,1.5652124881744385
QWaveSampler_path,path,11,34,28,lucas,9,9,75.0,75,74,True,1.5148401260375977
QWaveSampler_path,path,11,35,34,lucas,9,9,110.0,110,107,True,1.4567193984985352
QWaveSampler_path,path,11,36,25,lucas,9,9,62.0,62,67,True,1.4784293174743652
QWaveSampler_path,path,11,37,27,lucas,8,8,75.0,75,74,True,1.5708422660827637
QWaveSampler_path,path,11,38,25,lucas,8,8,64.0,64,64,True,1.4351754188537598
QWaveSampler_path,path,11,39,28,lucas,8,8,80.0,80,79,True,1.5556421279907227
QWaveSampler_path,path,11,40,31,lucas,9,9,90.0,90,88,True,1.427886962890625
QWaveSampler_path,path,11,41,24,lucas,7,7,62.0,62,60,True,1.385270357131958
QWaveSampler_path,path,11,42,27,lucas,8,8,75.0,75,71,True,1.5086619853973389
QWaveSampler_path,path,11,43,32,lucas,8,8,94.0,94,94,True,1.349550485610962
QWaveSampler_path,path,11,44,23,lucas,7,7,54.0,54,53,True,1.4661102294921875
QWaveSampler_path,path,11,45,27,lucas,8,8,72.0,72,69,True,1.5533268451690674
QWaveSampler_path,path,11,46,26,lucas,9,9,67.0,67,67,True,1.470423936843872
QWaveSampler_path,path,11,47,24,lucas,8,8,62.0,62,63,True,1.4752850532531738
QWaveSampler_path,path,11,48,27,lucas,8,8,76.0,76,78,True,1.4072966575622559
QWaveSampler_path,path,11,49,19,lucas,7,7,45.0,45,47,True,1.5745532512664795
QWaveSampler_path,path,13,0,34,exact,256,256,158.0,158,107,True,2.5233914852142334
QWaveSampler_path,path,13,1,46,exact,305,305,230.0,230,163,True,2.2360923290252686
QWaveSampler_path,path,13,2,38,exact,274,274,168.0,168,125,True,2.2988169193267822
QWaveSampler_path,path,13,3,35,exact,261,261,163.0,163,120,True,2.3487417697906494
QWaveSampler_path,path,13,4,42,exact,290,290,189.0,189,127,True,2.340101718902588
QWaveSampler_path,path,13,5,46,exact,305,305,207.0,207,156,True,2.455888271331787
