solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,trotters,feasible,minla_cost,lower_bound,approx_ratio,time_s,gamma
OpenJijSA,10,26,100,42,100,0.5,5.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,123,100,0.5,5.0,1,True,79.0,54.000000000000014,1.4629629629629626,0.008,0.0
OpenJijSA,10,26,100,456,100,0.5,5.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,789,100,0.5,5.0,1,False,,54.000000000000014,,0.007,0.0
OpenJijSA,10,26,100,999,100,0.5,5.0,1,True,81.0,54.000000000000014,1.4999999999999996,0.008,0.0
OpenJijSA,10,26,100,42,100,0.5,10.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,123,100,0.5,10.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,456,100,0.5,10.0,1,False,,54.000000000000014,,0.008,0.0
OpenJijSA,10,26,100,789,100,0.5,10.0,1,True,71.0,54.000000000000014,1.3148148148148144,0.008,0.0
OpenJijSA,10,26,100,999,100,0.5,10.0,1,True,81.0,54.000000000000014,1.4999999999999996,0.007,0.0
OpenJijSA,10,26,100,42,500,1e-09,0.1,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,123,500,1e-09,0.1,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,456,500,1e-09,0.1,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,789,500,1e-09,0.1,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,999,500,1e-09,0.1,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,42,500,1e-09,0.3,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,123,500,1e-09,0.3,1,False,,54.000000000000014,,0.018,0.0
OpenJijSA,10,26,100,456,500,1e-09,0.3,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,789,500,1e-09,0.3,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,999,500,1e-09,0.3,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,42,500,1e-09,0.5,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,123,500,1e-09,0.5,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,456,500,1e-09,0.5,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,789,500,1e-09,0.5,1,True,76.0,54.000000000000014,1.407407407407407,0.017,0.0
OpenJijSA,10,26,100,999,500,1e-09,0.5,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,42,500,1e-09,1.0,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,123,500,1e-09,1.0,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,456,500,1e-09,1.0,1,False,,54.000000000000014,,0.016,0.0
OpenJijSA,10,26,100,789,500,1e-09,1.0,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,999,500,1e-09,1.0,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,42,500,1e-09,5.0,1,True,81.0,54.000000000000014,1.4999999999999996,0.016,0.0
OpenJijSA,10,26,100,123,500,1e-09,5.0,1,True,88.0,54.000000000000014,1.629629629629629,0.017,0.0
OpenJijSA,10,26,100,456,500,1e-09,5.0,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,789,500,1e-09,5.0,1,False,,54.000000000000014,,0.016,0.0
OpenJijSA,10,26,100,999,500,1e-09,5.0,1,True,72.0,54.000000000000014,1.333333333333333,0.016,0.0
OpenJijSA,10,26,100,42,500,1e-09,10.0,1,True,75.0,54.000000000000014,1.3888888888888886,0.016,0.0
OpenJijSA,10,26,100,123,500,1e-09,10.0,1,True,73.0,54.000000000000014,1.3518518518518514,0.016,0.0
OpenJijSA,10,26,100,456,500,1e-09,10.0,1,True,81.0,54.000000000000014,1.4999999999999996,0.016,0.0
OpenJijSA,10,26,100,789,500,1e-09,10.0,1,True,74.0,54.000000000000014,1.37037037037037,0.016,0.0
OpenJijSA,10,26,100,999,500,1e-09,10.0,1,True,66.0,54.000000000000014,1.222222222222222,0.016,0.0
OpenJijSA,10,26,100,42,500,0.01,0.1,1,False,,54.000000000000014,,0.022,0.0
OpenJijSA,10,26,100,123,500,0.01,0.1,1,False,,54.000000000000014,,0.022,0.0
OpenJijSA,10,26,100,456,500,0.01,0.1,1,False,,54.000000000000014,,0.022,0.0
OpenJijSA,10,26,100,789,500,0.01,0.1,1,False,,54.000000000000014,,0.021,0.0
OpenJijSA,10,26,100,999,500,0.01,0.1,1,False,,54.000000000000014,,0.022,0.0
OpenJijSA,10,26,100,42,500,0.01,0.3,1,False,,54.000000000000014,,0.02,0.0
OpenJijSA,10,26,100,123,500,0.01,0.3,1,False,,54.000000000000014,,0.02,0.0
OpenJijSA,10,26,100,456,500,0.01,0.3,1,False,,54.000000000000014,,0.019,0.0
OpenJijSA,10,26,100,789,500,0.01,0.3,1,False,,54.000000000000014,,0.019,0.0
OpenJijSA,10,26,100,999,500,0.01,0.3,1,False,,54.000000000000014,,0.02,0.0
OpenJijSA,10,26,100,42,500,0.01,0.5,1,False,,54.000000000000014,,0.019,0.0
OpenJijSA,10,26,100,123,500,0.01,0.5,1,False,,54.000000000000014,,0.019,0.0
OpenJijSA,10,26,100,456,500,0.01,0.5,1,True,72.0,54.000000000000014,1.333333333333333,0.018,0.0
OpenJijSA,10,26,100,789,500,0.01,0.5,1,True,73.0,54.000000000000014,1.3518518518518514,0.018,0.0
OpenJijSA,10,26,100,999,500,0.01,0.5,1,False,,54.000000000000014,,0.018,0.0
OpenJijSA,10,26,100,42,500,0.01,1.0,1,True,72.0,54.000000000000014,1.333333333333333,0.017,0.0
OpenJijSA,10,26,100,123,500,0.01,1.0,1,True,68.0,54.000000000000014,1.2592592592592589,0.017,0.0
OpenJijSA,10,26,100,456,500,0.01,1.0,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,789,500,0.01,1.0,1,True,81.0,54.000000000000014,1.4999999999999996,0.017,0.0
OpenJijSA,10,26,100,999,500,0.01,1.0,1,True,76.0,54.000000000000014,1.407407407407407,0.017,0.0
OpenJijSA,10,26,100,42,500,0.01,5.0,1,True,72.0,54.000000000000014,1.333333333333333,0.015,0.0
OpenJijSA,10,26,100,123,500,0.01,5.0,1,True,77.0,54.000000000000014,1.4259259259259256,0.015,0.0
OpenJijSA,10,26,100,456,500,0.01,5.0,1,False,,54.000000000000014,,0.015,0.0
OpenJijSA,10,26,100,789,500,0.01,5.0,1,True,83.0,54.000000000000014,1.5370370370370363,0.015,0.0
OpenJijSA,10,26,100,999,500,0.01,5.0,1,True,66.0,54.000000000000014,1.222222222222222,0.015,0.0
OpenJijSA,10,26,100,42,500,0.01,10.0,1,True,71.0,54.000000000000014,1.3148148148148144,0.017,0.0
OpenJijSA,10,26,100,123,500,0.01,10.0,1,True,66.0,54.000000000000014,1.222222222222222,0.02,0.0
OpenJijSA,10,26,100,456,500,0.01,10.0,1,True,71.0,54.000000000000014,1.3148148148148144,0.019,0.0
OpenJijSA,10,26,100,789,500,0.01,10.0,1,True,65.0,54.000000000000014,1.2037037037037033,0.015,0.0
OpenJijSA,10,26,100,999,500,0.01,10.0,1,False,,54.000000000000014,,0.015,0.0
OpenJijSA,10,26,100,42,500,0.1,0.1,1,False,,54.000000000000014,,0.017,0.0
OpenJijSA,10,26,100,123,500,0.1,0.1,1,False,,54.000000000000014,,0.018,0.0
