solver,penalty,num_sweeps,beta_min,beta_max,beta_schedule_type,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
PathIntegralAnnealingSampler,lucas,500,0.01,0.3,linear,0.04,1.775,1.1254,25
PathIntegralAnnealingSampler,lucas,500,0.01,0.5,geometric,0.52,1.5405641014289606,1.1302,25
PathIntegralAnnealingSampler,lucas,500,0.01,0.5,linear,0.8,1.4620020361124912,1.15492,25
PathIntegralAnnealingSampler,lucas,500,0.01,1.0,geometric,0.56,1.452462352462352,1.16228,25
PathIntegralAnnealingSampler,lucas,500,0.01,1.0,linear,0.76,1.4285662719291552,1.2224000000000002,25
PathIntegralAnnealingSampler,lucas,500,0.01,5.0,geometric,0.52,1.451062897216743,1.5441999999999998,25
PathIntegralAnnealingSampler,lucas,500,0.01,5.0,linear,0.8,1.3783491263388759,1.93952,25
PathIntegralAnnealingSampler,lucas,500,0.01,10.0,geometric,0.64,1.5027983325464471,1.97992,25
PathIntegralAnnealingSampler,lucas,500,0.01,10.0,linear,0.72,1.3771755720995877,2.8807600000000004,25
PathIntegralAnnealingSampler,lucas,500,0.1,0.1,geometric,0.0,,1.1124800000000001,25
PathIntegralAnnealingSampler,lucas,500,0.1,0.1,linear,0.0,,1.1179599999999998,25
PathIntegralAnnealingSampler,lucas,500,0.1,0.3,geometric,0.0,,1.1271200000000001,25
PathIntegralAnnealingSampler,lucas,500,0.1,0.3,linear,0.04,1.4295824241210968,1.12956,25
PathIntegralAnnealingSampler,lucas,500,0.1,0.5,geometric,0.72,1.447629713677504,1.1472799999999999,25
PathIntegralAnnealingSampler,lucas,500,0.1,0.5,linear,0.84,1.4592998585626067,1.16368,25
PathIntegralAnnealingSampler,lucas,500,0.1,1.0,geometric,0.68,1.4331308109402041,1.18964,25
PathIntegralAnnealingSampler,lucas,500,0.1,1.0,linear,0.8,1.410287814473154,1.21408,25
PathIntegralAnnealingSampler,lucas,500,0.1,5.0,geometric,0.64,1.4481673999312132,1.6767200000000002,25
PathIntegralAnnealingSampler,lucas,500,0.1,5.0,linear,0.68,1.372145434028939,1.92024,25
PathIntegralAnnealingSampler,lucas,500,0.1,10.0,geometric,0.68,1.4125316487361483,2.22368,25
PathIntegralAnnealingSampler,lucas,500,0.1,10.0,linear,0.64,1.3615921039004937,2.8486399999999996,25
PathIntegralAnnealingSampler,lucas,500,0.5,0.5,geometric,0.6,1.4905471524020963,1.1767999999999998,25
PathIntegralAnnealingSampler,lucas,500,0.5,0.5,linear,0.6,1.4905471524020963,1.17648,25
PathIntegralAnnealingSampler,lucas,500,0.5,1.0,geometric,0.64,1.403822162559448,1.21492,25
PathIntegralAnnealingSampler,lucas,500,0.5,1.0,linear,0.6,1.4169420702754032,1.23176,25
PathIntegralAnnealingSampler,lucas,500,0.5,5.0,geometric,0.8,1.377818530746334,1.7246000000000001,25
PathIntegralAnnealingSampler,lucas,500,0.5,5.0,linear,0.72,1.3748473973652038,1.8481199999999998,25
PathIntegralAnnealingSampler,lucas,500,0.5,10.0,geometric,0.8,1.3832423282465545,2.38052,25
PathIntegralAnnealingSampler,lucas,500,0.5,10.0,linear,0.76,1.3700744604207304,2.79576,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,0.1,geometric,0.0,,2.1752,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,0.1,linear,0.0,,2.20276,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,0.3,geometric,0.0,,2.1722,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,0.3,linear,0.12,1.435791090296167,2.27816,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,0.5,geometric,0.4,1.5837037037037032,2.1798,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,0.5,linear,0.84,1.4586243292261223,2.28112,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,1.0,geometric,0.56,1.5090404965404964,2.21872,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,1.0,linear,0.92,1.4069314225791352,2.41048,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,5.0,geometric,0.48,1.4490859449192781,2.42488,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,5.0,linear,0.84,1.3692841852331898,3.8141599999999998,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,10.0,geometric,0.48,1.4450142450142447,2.7285200000000005,25
PathIntegralAnnealingSampler,lucas,1000,1e-09,10.0,linear,0.92,1.3720115471236065,5.507999999999999,25
PathIntegralAnnealingSampler,lucas,1000,0.01,0.1,geometric,0.0,,2.19464,25
PathIntegralAnnealingSampler,lucas,1000,0.01,0.1,linear,0.0,,2.2,25
PathIntegralAnnealingSampler,lucas,1000,0.01,0.3,geometric,0.0,,2.2135599999999998,25
PathIntegralAnnealingSampler,lucas,1000,0.01,0.3,linear,0.08,1.4791853730007434,2.24244,25
PathIntegralAnnealingSampler,lucas,1000,0.01,0.5,geometric,0.44,1.4629276525902357,2.2316000000000003,25
PathIntegralAnnealingSampler,lucas,1000,0.01,0.5,linear,0.96,1.442237410879902,2.29256,25
PathIntegralAnnealingSampler,lucas,1000,0.01,1.0,geometric,0.76,1.4323550768814757,2.3058,25
PathIntegralAnnealingSampler,lucas,1000,0.01,1.0,linear,0.84,1.402754721624518,2.4116400000000002,25
PathIntegralAnnealingSampler,lucas,1000,0.01,5.0,geometric,0.6,1.423076923076923,3.07824,25
PathIntegralAnnealingSampler,lucas,1000,0.01,5.0,linear,0.88,1.3705738927759559,3.8275200000000003,25
PathIntegralAnnealingSampler,lucas,1000,0.01,10.0,geometric,0.6,1.433770180436847,3.96084,25
PathIntegralAnnealingSampler,lucas,1000,0.01,10.0,linear,0.84,1.3714570170715177,5.50348,25
PathIntegralAnnealingSampler,lucas,1000,0.1,0.1,geometric,0.0,,2.20384,25
PathIntegralAnnealingSampler,lucas,1000,0.1,0.1,linear,0.0,,2.21384,25
PathIntegralAnnealingSampler,lucas,1000,0.1,0.3,geometric,0.0,,2.25216,25
PathIntegralAnnealingSampler,lucas,1000,0.1,0.3,linear,0.04,1.65,2.25576,25
PathIntegralAnnealingSampler,lucas,1000,0.1,0.5,geometric,0.84,1.439671680984144,2.3336799999999998,25
PathIntegralAnnealingSampler,lucas,1000,0.1,0.5,linear,0.84,1.4386471342744462,2.31188,25
PathIntegralAnnealingSampler,lucas,1000,0.1,1.0,geometric,0.8,1.4077445648009466,2.3774800000000003,25
PathIntegralAnnealingSampler,lucas,1000,0.1,1.0,linear,0.88,1.400293112294869,2.43736,25
PathIntegralAnnealingSampler,lucas,1000,0.1,5.0,geometric,0.88,1.4168117024832982,3.32644,25
PathIntegralAnnealingSampler,lucas,1000,0.1,5.0,linear,0.84,1.372652494576433,3.77248,25
PathIntegralAnnealingSampler,lucas,1000,0.1,10.0,geometric,0.8,1.401081104889125,4.43192,25
PathIntegralAnnealingSampler,lucas,1000,0.1,10.0,linear,0.84,1.3643126663123706,5.456720000000001,25
PathIntegralAnnealingSampler,lucas,1000,0.5,0.5,geometric,0.68,1.4778369934469668,2.3602800000000004,25
PathIntegralAnnealingSampler,lucas,1000,0.5,0.5,linear,0.68,1.4778369934469668,2.36944,25
PathIntegralAnnealingSampler,lucas,1000,0.5,1.0,geometric,0.72,1.4168226474862644,2.4358400000000002,25
PathIntegralAnnealingSampler,lucas,1000,0.5,1.0,linear,0.64,1.3824400544058064,2.4623999999999997,25
