solver,penalty,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,0.1,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,0.1,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,0.1,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,0.1,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,0.1,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,0.3,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,0.3,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,0.3,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,0.3,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,0.3,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,0.3,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,0.3,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,0.3,geometric,True,92.0,54.000000000000014,1.7037037037037033,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,0.5,linear,True,73.0,54.000000000000014,1.3518518518518514,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,0.5,linear,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,0.5,linear,True,75.0,54.000000000000014,1.3888888888888886,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,0.5,linear,True,70.0,54.000000000000014,1.296296296296296,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,0.5,linear,True,74.0,54.000000000000014,1.37037037037037,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,0.5,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,0.5,geometric,True,78.0,54.000000000000014,1.444444444444444,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,0.5,geometric,True,79.0,54.000000000000014,1.4629629629629626,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,0.5,geometric,True,76.0,54.000000000000014,1.407407407407407,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,0.5,geometric,True,85.0,54.000000000000014,1.5740740740740735,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,1.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,1.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.001
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,1.0,linear,True,68.0,54.000000000000014,1.2592592592592589,0.002
