solver,num_sweeps,beta_min,beta_max,trotters,gamma,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
OpenJijSA,500,0.5,0.5,1,0.0,0.16,1.6499999999999995,0.03828,25
OpenJijSA,500,0.5,1.0,1,0.0,0.4,1.393404558404558,0.03868,25
OpenJijSA,500,0.5,5.0,1,0.0,0.36,1.4363168724279833,0.03772,25
OpenJijSA,500,0.5,10.0,1,0.0,0.32,1.4377314814814812,0.037559999999999996,25
OpenJijSA,500,1.0,1.0,1,0.0,0.32,1.4336805555555554,0.03908,25
OpenJijSA,500,1.0,10.0,1,0.0,0.12,1.6216049382716047,0.0398,25
OpenJijSA,500,1.0,100.0,1,0.0,0.12,1.6648148148148145,0.04008,25
OpenJijSA,500,1.0,1000.0,1,0.0,0.04,1.7407407407407403,0.03856,25
OpenJijSA,500,1.0,10000.0,1,0.0,0.04,1.7407407407407403,0.0388,25
OpenJijSA,500,1.0,100000.0,1,0.0,0.04,1.7407407407407403,0.03812,25
OpenJijSA,500,1.0,1000000.0,1,0.0,0.0,,0.03912,25
OpenJijSA,500,1.0,10000000.0,1,0.0,0.0,,0.03844,25
OpenJijSA,500,1.0,100000000.0,1,0.0,0.0,,0.037399999999999996,25
OpenJijSA,500,1.0,1000000000.0,1,0.0,0.0,,0.037599999999999995,25
OpenJijSA,500,10.0,10.0,1,0.0,0.0,,0.03884,25
OpenJijSA,500,10.0,100.0,1,0.0,0.0,,0.03836,25
OpenJijSA,500,10.0,1000.0,1,0.0,0.0,,0.0382,25
OpenJijSA,500,10.0,10000.0,1,0.0,0.0,,0.037599999999999995,25
OpenJijSA,500,10.0,100000.0,1,0.0,0.0,,0.03736,25
OpenJijSA,500,10.0,1000000.0,1,0.0,0.0,,0.0378,25
OpenJijSA,500,10.0,10000000.0,1,0.0,0.0,,0.03984,25
OpenJijSA,500,10.0,100000000.0,1,0.0,0.0,,0.03752,25
OpenJijSA,500,10.0,1000000000.0,1,0.0,0.0,,0.03752,25
OpenJijSA,500,100.0,100.0,1,0.0,0.0,,0.03728,25
OpenJijSA,500,100.0,1000.0,1,0.0,0.0,,0.03756,25
OpenJijSA,500,100.0,10000.0,1,0.0,0.0,,0.037399999999999996,25
OpenJijSA,500,100.0,100000.0,1,0.0,0.0,,0.03772,25
OpenJijSA,500,100.0,1000000.0,1,0.0,0.0,,0.037599999999999995,25
OpenJijSA,500,100.0,10000000.0,1,0.0,0.0,,0.03736,25
OpenJijSA,500,100.0,100000000.0,1,0.0,0.0,,0.0382,25
OpenJijSA,500,100.0,1000000000.0,1,0.0,0.0,,0.0384,25
OpenJijSA,500,1000.0,1000.0,1,0.0,0.0,,0.0384,25
OpenJijSA,500,1000.0,10000.0,1,0.0,0.0,,0.038000000000000006,25
OpenJijSA,500,1000.0,100000.0,1,0.0,0.0,,0.03744,25
OpenJijSA,500,1000.0,1000000.0,1,0.0,0.0,,0.037599999999999995,25
OpenJijSA,500,1000.0,10000000.0,1,0.0,0.0,,0.037000000000000005,25
OpenJijSA,500,1000.0,100000000.0,1,0.0,0.0,,0.037079999999999995,25
OpenJijSA,500,1000.0,1000000000.0,1,0.0,0.0,,0.037239999999999995,25
OpenJijSA,500,10000.0,10000.0,1,0.0,0.0,,0.03712,25
OpenJijSA,500,10000.0,100000.0,1,0.0,0.0,,0.03772,25
OpenJijSA,500,10000.0,1000000.0,1,0.0,0.0,,0.037720000000000004,25
OpenJijSA,500,10000.0,10000000.0,1,0.0,0.0,,0.03812,25
OpenJijSA,500,10000.0,100000000.0,1,0.0,0.0,,0.03732,25
OpenJijSA,500,10000.0,1000000000.0,1,0.0,0.0,,0.03728,25
OpenJijSA,500,100000.0,100000.0,1,0.0,0.0,,0.037599999999999995,25
OpenJijSA,500,100000.0,1000000.0,1,0.0,0.0,,0.03812,25
OpenJijSA,500,100000.0,10000000.0,1,0.0,0.0,,0.037040000000000003,25
OpenJijSA,500,100000.0,100000000.0,1,0.0,0.0,,0.037720000000000004,25
OpenJijSA,500,100000.0,1000000000.0,1,0.0,0.0,,0.03728,25
OpenJijSA,500,1000000.0,1000000.0,1,0.0,0.0,,0.0378,25
OpenJijSA,500,1000000.0,10000000.0,1,0.0,0.0,,0.03728,25
OpenJijSA,500,1000000.0,100000000.0,1,0.0,0.0,,0.037360000000000004,25
OpenJijSA,500,1000000.0,1000000000.0,1,0.0,0.0,,0.03883999999999999,25
OpenJijSA,500,10000000.0,10000000.0,1,0.0,0.0,,0.03716,25
OpenJijSA,500,10000000.0,100000000.0,1,0.0,0.0,,0.037360000000000004,25
OpenJijSA,500,10000000.0,1000000000.0,1,0.0,0.0,,0.03848,25
OpenJijSA,500,100000000.0,100000000.0,1,0.0,0.0,,0.037599999999999995,25
OpenJijSA,500,100000000.0,1000000000.0,1,0.0,0.0,,0.037919999999999995,25
OpenJijSA,500,1000000000.0,1000000000.0,1,0.0,0.0,,0.038079999999999996,25
OpenJijSA,1000,1e-09,0.1,1,0.0,0.0,,0.11631999999999999,25
OpenJijSA,1000,1e-09,0.3,1,0.0,0.0,,0.11288000000000001,25
OpenJijSA,1000,1e-09,0.5,1,0.0,0.04,1.2407407407407405,0.11056,25
OpenJijSA,1000,1e-09,1.0,1,0.0,0.32,1.4882834757834755,0.10904,25
OpenJijSA,1000,1e-09,5.0,1,0.0,0.24,1.4908950617283947,0.10496,25
OpenJijSA,1000,1e-09,10.0,1,0.0,0.36,1.4004115226337446,0.10251999999999999,25
OpenJijSA,1000,0.01,0.1,1,0.0,0.0,,0.10704000000000001,25
OpenJijSA,1000,0.01,0.3,1,0.0,0.0,,0.09176000000000001,25
OpenJijSA,1000,0.01,0.5,1,0.0,0.16,1.4528490028490024,0.08592000000000001,25
OpenJijSA,1000,0.01,1.0,1,0.0,0.48,1.4671053423258273,0.08056,25
OpenJijSA,1000,0.01,5.0,1,0.0,0.56,1.455466385726296,0.07092,25
OpenJijSA,1000,0.01,10.0,1,0.0,0.48,1.484541057270578,0.06912,25
OpenJijSA,1000,0.1,0.1,1,0.0,0.0,,0.07619999999999999,25
OpenJijSA,1000,0.1,0.3,1,0.0,0.0,,0.06028000000000001,25
OpenJijSA,1000,0.1,0.5,1,0.0,0.4,1.4677995605497887,0.05700000000000001,25
OpenJijSA,1000,0.1,1.0,1,0.0,0.6,1.4330658698671757,0.0536,25
OpenJijSA,1000,0.1,5.0,1,0.0,0.6,1.467444997872174,0.05104,25
OpenJijSA,1000,0.1,10.0,1,0.0,0.52,1.468271970195047,0.04992,25
OpenJijSA,1000,0.5,0.5,1,0.0,0.2,1.436581196581196,0.046400000000000004,25
OpenJijSA,1000,0.5,1.0,1,0.0,0.48,1.4512701804368469,0.04616000000000001,25
OpenJijSA,1000,0.5,5.0,1,0.0,0.28,1.3841269841269839,0.04652000000000001,25
OpenJijSA,1000,0.5,10.0,1,0.0,0.36,1.3671810699588474,0.0462,25
OpenJijSQA,100,0.1,0.1,2,0.0,0.0,,0.07949999999999999,10
OpenJijSQA,100,0.1,0.1,4,0.0,0.0,,0.08349999999999999,10
OpenJijSQA,100,0.1,0.1,8,0.0,0.0,,0.09069999999999999,10
OpenJijSQA,100,0.3,0.3,2,0.0,0.0,,0.0789,10
OpenJijSQA,100,0.3,0.3,4,0.0,0.0,,0.0836,10
OpenJijSQA,100,0.3,0.3,8,0.0,0.0,,0.09159999999999999,10
OpenJijSQA,100,0.5,0.5,2,0.0,0.0,,0.07899999999999999,10
OpenJijSQA,100,0.5,0.5,4,0.0,0.0,,0.08369999999999998,10
OpenJijSQA,100,0.5,0.5,8,0.0,0.0,,0.09109999999999999,10
OpenJijSQA,100,1.0,1.0,2,0.0,0.1,1.675,0.0802,10
OpenJijSQA,100,1.0,1.0,4,0.0,0.0,,0.0841,10
OpenJijSQA,100,1.0,1.0,8,0.0,0.0,,0.0904,10
OpenJijSQA,100,5.0,5.0,2,0.0,0.1,1.2407407407407405,0.07949999999999999,10
OpenJijSQA,100,5.0,5.0,4,0.0,0.9,1.4432098765432098,0.08389999999999999,10
OpenJijSQA,100,5.0,5.0,8,0.0,0.9,1.3457818930041152,0.09169999999999999,10
OpenJijSQA,100,10.0,10.0,2,0.0,0.0,,0.07869999999999999,10
OpenJijSQA,100,10.0,10.0,4,0.0,0.4,1.366898148148148,0.08259999999999999,10
OpenJijSQA,100,10.0,10.0,8,0.0,0.6,1.281327160493827,0.09079999999999999,10
OpenJijSQA,500,0.1,0.1,2,0.0,0.0,,0.36719999999999997,10
OpenJijSQA,500,0.1,0.1,4,0.0,0.0,,0.37720000000000004,10
OpenJijSQA,500,0.1,0.1,8,0.0,0.0,,0.3919,10
OpenJijSQA,500,0.3,0.3,2,0.0,0.0,,0.3675,10
OpenJijSQA,500,0.3,0.3,4,0.0,0.0,,0.3761,10
OpenJijSQA,500,0.3,0.3,8,0.0,0.0,,0.394,10
OpenJijSQA,500,0.5,0.5,2,0.0,0.0,,0.37070000000000003,10
OpenJijSQA,500,0.5,0.5,4,0.0,0.0,,0.3761,10
OpenJijSQA,500,0.5,0.5,8,0.0,0.0,,0.3961,10
OpenJijSQA,500,1.0,1.0,2,0.0,0.6,1.5419753086419752,0.37289999999999995,10
OpenJijSQA,500,1.0,1.0,2,1.0,0.28,1.59504477004477,0.41056,25
OpenJijSQA,500,1.0,1.0,2,3.0,0.48,1.4667853751187083,0.45204,25
OpenJijSQA,500,1.0,1.0,2,10.0,0.32,1.4019675925925925,0.45628,25
OpenJijSQA,500,1.0,1.0,2,30.0,0.28,1.5054639804639802,0.4568000000000001,25
OpenJijSQA,500,1.0,1.0,4,0.0,0.3,1.6537037037037035,0.3817,10
OpenJijSQA,500,1.0,1.0,4,1.0,0.12,1.6537037037037035,0.43236,25
OpenJijSQA,500,1.0,1.0,4,3.0,0.36,1.4684423738025838,0.49472,25
