solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,10,26,100,123,1000,0.01,1,geometric,True,64.0,54.000000000000014,1.185185185185185,0.02
SimulatedAnnealingSampler,10,26,100,456,1000,0.01,1,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.02
SimulatedAnnealingSampler,10,26,100,789,1000,0.01,1,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.02
SimulatedAnnealingSampler,10,26,100,999,1000,0.01,1,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.02
SimulatedAnnealingSampler,10,22,101,42,100,1e-09,1,linear,True,63.0,40.0,1.575,0.002
SimulatedAnnealingSampler,10,22,101,123,100,1e-09,1,linear,True,54.0,40.0,1.35,0.002
SimulatedAnnealingSampler,10,22,101,456,100,1e-09,1,linear,True,57.0,40.0,1.425,0.002
SimulatedAnnealingSampler,10,22,101,789,100,1e-09,1,linear,True,55.0,40.0,1.375,0.002
SimulatedAnnealingSampler,10,22,101,999,100,1e-09,1,linear,True,57.0,40.0,1.425,0.002
SimulatedAnnealingSampler,10,22,101,42,100,1e-09,1,geometric,True,61.0,40.0,1.525,0.002
SimulatedAnnealingSampler,10,22,101,123,100,1e-09,1,geometric,True,60.0,40.0,1.5,0.002
SimulatedAnnealingSampler,10,22,101,456,100,1e-09,1,geometric,True,58.0,40.0,1.45,0.003
SimulatedAnnealingSampler,10,22,101,789,100,1e-09,1,geometric,True,63.0,40.0,1.575,0.003
SimulatedAnnealingSampler,10,22,101,999,100,1e-09,1,geometric,True,61.0,40.0,1.525,0.003
SimulatedAnnealingSampler,10,22,101,42,100,1e-09,10,linear,True,65.0,40.0,1.625,0.001
SimulatedAnnealingSampler,10,22,101,123,100,1e-09,10,linear,True,78.0,40.0,1.95,0.001
SimulatedAnnealingSampler,10,22,101,456,100,1e-09,10,linear,True,63.0,40.0,1.575,0.001
SimulatedAnnealingSampler,10,22,101,789,100,1e-09,10,linear,False,,40.0,,0.001
SimulatedAnnealingSampler,10,22,101,999,100,1e-09,10,linear,True,66.0,40.0,1.65,0.001
SimulatedAnnealingSampler,10,22,101,42,100,1e-09,10,geometric,True,67.0,40.0,1.675,0.002
SimulatedAnnealingSampler,10,22,101,123,100,1e-09,10,geometric,False,,40.0,,0.002
SimulatedAnnealingSampler,10,22,101,456,100,1e-09,10,geometric,True,60.0,40.0,1.5,0.002
SimulatedAnnealingSampler,10,22,101,789,100,1e-09,10,geometric,True,65.0,40.0,1.625,0.002
SimulatedAnnealingSampler,10,22,101,999,100,1e-09,10,geometric,True,59.0,40.0,1.475,0.003
SimulatedAnnealingSampler,10,22,101,42,100,0.01,1,linear,True,57.0,40.0,1.425,0.002
SimulatedAnnealingSampler,10,22,101,123,100,0.01,1,linear,True,57.0,40.0,1.425,0.002
SimulatedAnnealingSampler,10,22,101,456,100,0.01,1,linear,True,55.0,40.0,1.375,0.002
SimulatedAnnealingSampler,10,22,101,789,100,0.01,1,linear,True,55.0,40.0,1.375,0.002
SimulatedAnnealingSampler,10,22,101,999,100,0.01,1,linear,True,55.0,40.0,1.375,0.002
SimulatedAnnealingSampler,10,22,101,42,100,0.01,1,geometric,True,63.0,40.0,1.575,0.003
SimulatedAnnealingSampler,10,22,101,123,100,0.01,1,geometric,True,59.0,40.0,1.475,0.003
SimulatedAnnealingSampler,10,22,101,456,100,0.01,1,geometric,True,57.0,40.0,1.425,0.003
SimulatedAnnealingSampler,10,22,101,789,100,0.01,1,geometric,True,62.0,40.0,1.55,0.003
SimulatedAnnealingSampler,10,22,101,999,100,0.01,1,geometric,True,57.0,40.0,1.425,0.003
SimulatedAnnealingSampler,10,22,101,42,500,1e-09,1,linear,True,57.0,40.0,1.425,0.006
SimulatedAnnealingSampler,10,22,101,123,500,1e-09,1,linear,True,57.0,40.0,1.425,0.005
SimulatedAnnealingSampler,10,22,101,456,500,1e-09,1,linear,True,55.0,40.0,1.375,0.006
SimulatedAnnealingSampler,10,22,101,789,500,1e-09,1,linear,True,57.0,40.0,1.425,0.005
SimulatedAnnealingSampler,10,22,101,999,500,1e-09,1,linear,True,54.0,40.0,1.35,0.006
SimulatedAnnealingSampler,10,22,101,42,500,1e-09,1,geometric,True,58.0,40.0,1.45,0.009
SimulatedAnnealingSampler,10,22,101,123,500,1e-09,1,geometric,True,57.0,40.0,1.425,0.009
SimulatedAnnealingSampler,10,22,101,456,500,1e-09,1,geometric,True,55.0,40.0,1.375,0.009
SimulatedAnnealingSampler,10,22,101,789,500,1e-09,1,geometric,True,57.0,40.0,1.425,0.009
SimulatedAnnealingSampler,10,22,101,999,500,1e-09,1,geometric,True,59.0,40.0,1.475,0.009
SimulatedAnnealingSampler,10,22,101,42,500,1e-09,10,linear,True,56.0,40.0,1.4,0.002
SimulatedAnnealingSampler,10,22,101,123,500,1e-09,10,linear,True,55.0,40.0,1.375,0.002
SimulatedAnnealingSampler,10,22,101,456,500,1e-09,10,linear,True,57.0,40.0,1.425,0.002
SimulatedAnnealingSampler,10,22,101,789,500,1e-09,10,linear,True,55.0,40.0,1.375,0.002
SimulatedAnnealingSampler,10,22,101,999,500,1e-09,10,linear,True,57.0,40.0,1.425,0.002
SimulatedAnnealingSampler,10,22,101,42,500,1e-09,10,geometric,True,55.0,40.0,1.375,0.009
SimulatedAnnealingSampler,10,22,101,123,500,1e-09,10,geometric,True,59.0,40.0,1.475,0.009
SimulatedAnnealingSampler,10,22,101,456,500,1e-09,10,geometric,True,59.0,40.0,1.475,0.009
SimulatedAnnealingSampler,10,22,101,789,500,1e-09,10,geometric,True,58.0,40.0,1.45,0.009
SimulatedAnnealingSampler,10,22,101,999,500,1e-09,10,geometric,True,56.0,40.0,1.4,0.009
SimulatedAnnealingSampler,10,22,101,42,500,0.01,1,linear,True,55.0,40.0,1.375,0.006
SimulatedAnnealingSampler,10,22,101,123,500,0.01,1,linear,True,55.0,40.0,1.375,0.005
SimulatedAnnealingSampler,10,22,101,456,500,0.01,1,linear,True,55.0,40.0,1.375,0.005
SimulatedAnnealingSampler,10,22,101,789,500,0.01,1,linear,True,55.0,40.0,1.375,0.005
SimulatedAnnealingSampler,10,22,101,999,500,0.01,1,linear,True,55.0,40.0,1.375,0.005
SimulatedAnnealingSampler,10,22,101,42,500,0.01,1,geometric,True,57.0,40.0,1.425,0.011
SimulatedAnnealingSampler,10,22,101,123,500,0.01,1,geometric,True,56.0,40.0,1.4,0.01
SimulatedAnnealingSampler,10,22,101,456,500,0.01,1,geometric,True,56.0,40.0,1.4,0.01
SimulatedAnnealingSampler,10,22,101,789,500,0.01,1,geometric,True,56.0,40.0,1.4,0.011
SimulatedAnnealingSampler,10,22,101,999,500,0.01,1,geometric,True,54.0,40.0,1.35,0.01
SimulatedAnnealingSampler,10,22,101,42,1000,1e-09,1,linear,True,55.0,40.0,1.375,0.01
SimulatedAnnealingSampler,10,22,101,123,1000,1e-09,1,linear,True,55.0,40.0,1.375,0.01
SimulatedAnnealingSampler,10,22,101,456,1000,1e-09,1,linear,True,55.0,40.0,1.375,0.01
SimulatedAnnealingSampler,10,22,101,789,1000,1e-09,1,linear,True,56.0,40.0,1.4,0.01
SimulatedAnnealingSampler,10,22,101,999,1000,1e-09,1,linear,True,55.0,40.0,1.375,0.01
SimulatedAnnealingSampler,10,22,101,42,1000,1e-09,1,geometric,True,58.0,40.0,1.45,0.017
SimulatedAnnealingSampler,10,22,101,123,1000,1e-09,1,geometric,True,57.0,40.0,1.425,0.019
SimulatedAnnealingSampler,10,22,101,456,1000,1e-09,1,geometric,True,55.0,40.0,1.375,0.018
SimulatedAnnealingSampler,10,22,101,789,1000,1e-09,1,geometric,True,61.0,40.0,1.525,0.018
SimulatedAnnealingSampler,10,22,101,999,1000,1e-09,1,geometric,True,58.0,40.0,1.45,0.018
SimulatedAnnealingSampler,10,22,101,42,1000,1e-09,10,linear,True,59.0,40.0,1.475,0.003
SimulatedAnnealingSampler,10,22,101,123,1000,1e-09,10,linear,True,57.0,40.0,1.425,0.003
SimulatedAnnealingSampler,10,22,101,456,1000,1e-09,10,linear,True,57.0,40.0,1.425,0.003
SimulatedAnnealingSampler,10,22,101,789,1000,1e-09,10,linear,True,55.0,40.0,1.375,0.003
SimulatedAnnealingSampler,10,22,101,999,1000,1e-09,10,linear,True,59.0,40.0,1.475,0.003
SimulatedAnnealingSampler,10,22,101,42,1000,1e-09,10,geometric,True,57.0,40.0,1.425,0.016
SimulatedAnnealingSampler,10,22,101,123,1000,1e-09,10,geometric,True,56.0,40.0,1.4,0.016
SimulatedAnnealingSampler,10,22,101,456,1000,1e-09,10,geometric,True,60.0,40.0,1.5,0.016
SimulatedAnnealingSampler,10,22,101,789,1000,1e-09,10,geometric,True,56.0,40.0,1.4,0.016
