n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,0.1,10.0,False,linear,default,999,1270.0,False,,0.012
25,151,1.0,1.0,False,linear,default,42,1461.0,False,,0.049
25,151,1.0,1.0,False,linear,default,123,1396.0,False,,0.051
25,151,1.0,1.0,False,linear,default,456,1483.0,False,,0.048
25,151,1.0,1.0,False,linear,default,789,1451.0,False,,0.047
25,151,1.0,1.0,False,linear,default,999,1467.0,False,,0.048
25,151,1.0,10.0,False,linear,default,42,1585.0,False,,0.011
25,151,1.0,10.0,False,linear,default,123,1590.0,False,,0.011
25,151,1.0,10.0,False,linear,default,456,1587.0,False,,0.012
25,151,1.0,10.0,False,linear,default,789,1585.0,False,,0.012
25,151,1.0,10.0,False,linear,default,999,1465.0,False,,0.013
25,151,10.0,10.0,False,linear,default,42,1738.0,False,,0.006
25,151,10.0,10.0,False,linear,default,123,1690.0,False,,0.01
25,151,10.0,10.0,False,linear,default,456,1710.0,False,,0.009
25,151,10.0,10.0,False,linear,default,789,1702.0,False,,0.009
25,151,10.0,10.0,False,linear,default,999,1625.0,False,,0.007
25,151,1e-06,1e-06,False,power (1/2),default,42,18913.0,False,,0.163
25,151,1e-06,1e-06,False,power (1/2),default,123,16842.0,False,,0.163
25,151,1e-06,1e-06,False,power (1/2),default,456,17628.0,False,,0.161
25,151,1e-06,1e-06,False,power (1/2),default,789,18680.0,False,,0.163
25,151,1e-06,1e-06,False,power (1/2),default,999,15806.0,False,,0.158
25,151,1e-06,1e-05,False,power (1/2),default,42,10710.0,False,,0.157
25,151,1e-06,1e-05,False,power (1/2),default,123,11049.0,False,,0.156
25,151,1e-06,1e-05,False,power (1/2),default,456,11790.0,False,,0.156
25,151,1e-06,1e-05,False,power (1/2),default,789,11829.0,False,,0.159
25,151,1e-06,1e-05,False,power (1/2),default,999,11225.0,False,,0.16
25,151,1e-06,0.0001,False,power (1/2),default,42,5864.0,False,,0.139
25,151,1e-06,0.0001,False,power (1/2),default,123,5571.0,False,,0.14
25,151,1e-06,0.0001,False,power (1/2),default,456,5077.0,False,,0.148
25,151,1e-06,0.0001,False,power (1/2),default,789,5442.0,False,,0.141
25,151,1e-06,0.0001,False,power (1/2),default,999,5595.0,False,,0.139
25,151,1e-06,0.001,False,power (1/2),default,42,3156.0,False,,0.125
25,151,1e-06,0.001,False,power (1/2),default,123,3332.0,False,,0.127
25,151,1e-06,0.001,False,power (1/2),default,456,3223.0,False,,0.126
25,151,1e-06,0.001,False,power (1/2),default,789,3193.0,False,,0.127
25,151,1e-06,0.001,False,power (1/2),default,999,3356.0,False,,0.126
25,151,1e-06,0.01,False,power (1/2),default,42,2038.0,False,,0.1
25,151,1e-06,0.01,False,power (1/2),default,123,2092.0,False,,0.103
25,151,1e-06,0.01,False,power (1/2),default,456,2004.0,False,,0.1
25,151,1e-06,0.01,False,power (1/2),default,789,2073.0,False,,0.101
25,151,1e-06,0.01,False,power (1/2),default,999,2149.0,False,,0.097
25,151,1e-06,0.1,False,power (1/2),default,42,997.0,False,,0.065
25,151,1e-06,0.1,False,power (1/2),default,123,1016.0,False,,0.062
25,151,1e-06,0.1,False,power (1/2),default,456,982.0,False,,0.064
25,151,1e-06,0.1,False,power (1/2),default,789,994.0,False,,0.062
25,151,1e-06,0.1,False,power (1/2),default,999,1004.0,False,,0.064
25,151,1e-06,1.0,False,power (1/2),default,42,1021.0,False,,0.052
25,151,1e-06,1.0,False,power (1/2),default,123,1003.0,False,,0.054
25,151,1e-06,1.0,False,power (1/2),default,456,1037.0,False,,0.052
25,151,1e-06,1.0,False,power (1/2),default,789,1014.0,False,,0.052
25,151,1e-06,1.0,False,power (1/2),default,999,1037.0,False,,0.052
25,151,1e-06,10.0,False,power (1/2),default,42,1351.0,False,,0.021
25,151,1e-06,10.0,False,power (1/2),default,123,1315.0,False,,0.025
25,151,1e-06,10.0,False,power (1/2),default,456,1297.0,False,,0.02
