n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,1e-06,1e-06,False,geometric,fixed_Hp,789,25297.0,False,,5.699
25,151,1e-06,1e-06,False,geometric,fixed_Hp,999,23046.0,False,,5.708
25,151,1e-06,1e-05,False,geometric,fixed_Hp,42,23824.0,False,,5.692
25,151,1e-06,1e-05,False,geometric,fixed_Hp,123,25363.0,False,,5.687
25,151,1e-06,1e-05,False,geometric,fixed_Hp,456,23814.0,False,,5.684
25,151,1e-06,1e-05,False,geometric,fixed_Hp,789,23498.0,False,,5.707
25,151,1e-06,1e-05,False,geometric,fixed_Hp,999,23241.0,False,,5.735
25,151,1e-06,0.0001,False,geometric,fixed_Hp,42,23774.0,False,,5.692
25,151,1e-06,0.0001,False,geometric,fixed_Hp,123,26220.0,False,,5.718
25,151,1e-06,0.0001,False,geometric,fixed_Hp,456,23174.0,False,,5.719
25,151,1e-06,0.0001,False,geometric,fixed_Hp,789,24605.0,False,,5.75
25,151,1e-06,0.0001,False,geometric,fixed_Hp,999,23108.0,False,,5.749
25,151,1e-06,0.001,False,geometric,fixed_Hp,42,18836.0,False,,5.741
25,151,1e-06,0.001,False,geometric,fixed_Hp,123,20359.0,False,,5.7
25,151,1e-06,0.001,False,geometric,fixed_Hp,456,19006.0,False,,5.719
25,151,1e-06,0.001,False,geometric,fixed_Hp,789,18925.0,False,,5.73
25,151,1e-06,0.001,False,geometric,fixed_Hp,999,21075.0,False,,5.749
25,151,1e-06,0.01,False,geometric,fixed_Hp,42,5533.0,False,,5.739
25,151,1e-06,0.01,False,geometric,fixed_Hp,123,5215.0,False,,5.497
25,151,1e-06,0.01,False,geometric,fixed_Hp,456,5908.0,False,,5.517
25,151,1e-06,0.01,False,geometric,fixed_Hp,789,5955.0,False,,5.555
25,151,1e-06,0.01,False,geometric,fixed_Hp,999,5521.0,False,,5.542
25,151,1e-06,0.1,False,geometric,fixed_Hp,42,2169.0,False,,5.554
25,151,1e-06,0.1,False,geometric,fixed_Hp,123,1961.0,False,,5.571
25,151,1e-06,0.1,False,geometric,fixed_Hp,456,2089.0,False,,5.589
25,151,1e-06,0.1,False,geometric,fixed_Hp,789,2085.0,False,,5.582
25,151,1e-06,0.1,False,geometric,fixed_Hp,999,2044.0,False,,5.89
25,151,1e-06,1.0,False,geometric,fixed_Hp,42,1102.0,False,,6.335
25,151,1e-06,1.0,False,geometric,fixed_Hp,123,1195.0,False,,6.813
25,151,1e-06,1.0,False,geometric,fixed_Hp,456,1132.0,False,,6.392
25,151,1e-06,1.0,False,geometric,fixed_Hp,789,1196.0,False,,6.157
25,151,1e-06,1.0,False,geometric,fixed_Hp,999,1174.0,False,,6.195
25,151,1e-06,10.0,False,geometric,fixed_Hp,42,1078.0,False,,14.403
25,151,1e-06,10.0,False,geometric,fixed_Hp,123,1033.0,False,,14.475
25,151,1e-06,10.0,False,geometric,fixed_Hp,456,1069.0,False,,14.675
25,151,1e-06,10.0,False,geometric,fixed_Hp,789,1027.0,True,1027.0,14.356
25,151,1e-06,10.0,False,geometric,fixed_Hp,999,1039.0,False,,14.264
25,151,1e-05,1e-05,False,geometric,fixed_Hp,42,23845.0,False,,5.674
25,151,1e-05,1e-05,False,geometric,fixed_Hp,123,25326.0,False,,5.688
25,151,1e-05,1e-05,False,geometric,fixed_Hp,456,24622.0,False,,5.706
25,151,1e-05,1e-05,False,geometric,fixed_Hp,789,23476.0,False,,5.7
25,151,1e-05,1e-05,False,geometric,fixed_Hp,999,23046.0,False,,5.935
25,151,1e-05,0.0001,False,geometric,fixed_Hp,42,23774.0,False,,5.768
25,151,1e-05,0.0001,False,geometric,fixed_Hp,123,25153.0,False,,5.692
25,151,1e-05,0.0001,False,geometric,fixed_Hp,456,24890.0,False,,5.683
25,151,1e-05,0.0001,False,geometric,fixed_Hp,789,24605.0,False,,5.733
25,151,1e-05,0.0001,False,geometric,fixed_Hp,999,22173.0,False,,5.747
25,151,1e-05,0.001,False,geometric,fixed_Hp,42,19394.0,False,,5.995
25,151,1e-05,0.001,False,geometric,fixed_Hp,123,18086.0,False,,5.985
25,151,1e-05,0.001,False,geometric,fixed_Hp,456,16969.0,False,,5.701
25,151,1e-05,0.001,False,geometric,fixed_Hp,789,16803.0,False,,5.703
