number,values_0,values_1,datetime_start,datetime_complete,duration,params_beta_range_idx,params_beta_schedule_type,params_gamma,user_attrs_beta_max,user_attrs_beta_min,user_attrs_graphs_feasible,user_attrs_time_s,state,solver
45,0.0,10.0,2026-07-24 00:17:10.088604,2026-07-24 00:17:19.196149,0 days 00:00:09.107545,1,linear,0.0001,0.1,0.01,0,9.106,COMPLETE,PA
46,0.0,10.0,2026-07-24 00:17:10.090599,2026-07-24 00:17:19.370045,0 days 00:00:09.279446,3,linear,100.0,0.1,0.1,0,9.278,COMPLETE,PA
47,0.0,10.0,2026-07-24 00:17:13.660635,2026-07-24 00:17:22.984389,0 days 00:00:09.323754,1,geometric,1000.0,0.1,0.01,0,9.322,COMPLETE,PA
48,0.0,10.0,2026-07-24 00:17:15.530967,2026-07-24 00:17:26.267857,0 days 00:00:10.736890,4,linear,0.001,1.0,0.1,0,10.735,COMPLETE,PA
49,0.0,10.0,2026-07-24 00:17:17.313659,2026-07-24 00:17:27.497813,0 days 00:00:10.184154,4,geometric,0.001,1.0,0.1,0,10.178,COMPLETE,PA
50,0.0,10.0,2026-07-24 00:17:17.900103,2026-07-24 00:17:28.211988,0 days 00:00:10.311885,4,geometric,10000.0,1.0,0.1,0,10.31,COMPLETE,PA
51,0.0,10.0,2026-07-24 00:17:18.770530,2026-07-24 00:17:31.448094,0 days 00:00:12.677564,5,geometric,0.001,1.0,1.0,0,12.676,COMPLETE,PA
52,0.0,10.0,2026-07-24 00:17:18.832430,2026-07-24 00:17:28.588627,0 days 00:00:09.756197,1,geometric,10.0,0.1,0.01,0,9.754,COMPLETE,PA
53,0.0,10.0,2026-07-24 00:17:19.196149,2026-07-24 00:17:28.651438,0 days 00:00:09.455289,1,linear,100.0,0.1,0.01,0,9.453,COMPLETE,PA
54,0.0,10.0,2026-07-24 00:17:19.371045,2026-07-24 00:17:28.830426,0 days 00:00:09.459381,0,linear,10000.0,0.01,0.01,0,9.455,COMPLETE,PA
55,0.0,10.0,2026-07-24 00:17:22.985389,2026-07-24 00:17:32.692659,0 days 00:00:09.707270,3,geometric,0.0001,0.1,0.1,0,9.706,COMPLETE,PA
56,0.0,10.0,2026-07-24 00:17:26.268860,2026-07-24 00:17:40.341241,0 days 00:00:14.072381,5,geometric,0.1,1.0,1.0,0,14.071,COMPLETE,PA
57,0.0,10.0,2026-07-24 00:17:27.497813,2026-07-24 00:17:41.510008,0 days 00:00:14.012195,5,geometric,1.0,1.0,1.0,0,14.01,COMPLETE,PA
58,0.0,10.0,2026-07-24 00:17:28.211988,2026-07-24 00:17:39.326643,0 days 00:00:11.114655,2,geometric,100.0,1.0,0.01,0,11.113,COMPLETE,PA
59,0.0,10.0,2026-07-24 00:17:28.588627,2026-07-24 00:17:39.384597,0 days 00:00:10.795970,3,geometric,0.1,0.1,0.1,0,10.794,COMPLETE,PA
