n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s
10,19,29,46.0,True,46.0,45,1.0222222222222221,0.022222222222222223,0.492
10,27,30,74.0,True,74.0,74,1.0,0.0,0.484
10,18,31,35.0,True,35.0,35,1.0,0.0,0.499
10,20,32,49.0,True,49.0,46,1.065217391304348,0.06521739130434782,0.493
10,25,33,65.0,True,65.0,65,1.0,0.0,0.493
10,21,34,53.0,True,53.0,53,1.0,0.0,0.493
10,22,35,50.0,True,50.0,50,1.0,0.0,0.484
10,21,36,52.0,True,52.0,50,1.04,0.04,0.485
10,26,37,69.0,True,69.0,68,1.0147058823529411,0.014705882352941176,0.539
10,21,38,50.0,True,50.0,50,1.0,0.0,0.533
