n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
15,59,81,301.0,True,301.0,238,1.2647058823529411,0.2647058823529412,1.134,789,PathIntegralAnnealingSampler
15,44,82,219.0,True,219.0,153,1.4313725490196079,0.43137254901960786,1.093,123,PathIntegralAnnealingSampler
15,55,83,269.0,True,269.0,212,1.2688679245283019,0.2688679245283019,1.073,123,PathIntegralAnnealingSampler
15,54,84,265.0,True,265.0,199,1.3316582914572865,0.3316582914572864,1.096,42,PathIntegralAnnealingSampler
15,52,85,242.0,True,242.0,188,1.2872340425531914,0.2872340425531915,1.111,123,PathIntegralAnnealingSampler
15,61,86,303.0,True,303.0,243,1.2469135802469136,0.24691358024691357,1.115,123,PathIntegralAnnealingSampler
15,57,87,302.0,True,302.0,199,1.5175879396984924,0.5175879396984925,1.084,42,PathIntegralAnnealingSampler
15,55,88,277.0,True,277.0,222,1.2477477477477477,0.24774774774774774,1.089,456,PathIntegralAnnealingSampler
15,43,89,217.0,True,217.0,147,1.4761904761904763,0.47619047619047616,1.104,456,PathIntegralAnnealingSampler
15,50,90,234.0,True,234.0,182,1.2857142857142858,0.2857142857142857,1.091,123,PathIntegralAnnealingSampler
15,51,91,248.0,True,248.0,197,1.2588832487309645,0.25888324873096447,1.079,456,PathIntegralAnnealingSampler
15,50,92,227.0,True,227.0,191,1.1884816753926701,0.18848167539267016,1.1,456,PathIntegralAnnealingSampler
15,55,93,288.0,True,288.0,208,1.3846153846153846,0.38461538461538464,1.102,789,PathIntegralAnnealingSampler
15,58,94,278.0,True,278.0,235,1.1829787234042553,0.1829787234042553,1.091,789,PathIntegralAnnealingSampler
15,61,95,301.0,True,301.0,245,1.2285714285714286,0.22857142857142856,1.119,789,PathIntegralAnnealingSampler
15,50,96,231.0,True,231.0,176,1.3125,0.3125,1.073,42,PathIntegralAnnealingSampler
15,59,97,307.0,True,307.0,227,1.3524229074889869,0.3524229074889868,1.112,456,PathIntegralAnnealingSampler
15,63,98,313.0,True,313.0,242,1.2933884297520661,0.29338842975206614,1.092,999,PathIntegralAnnealingSampler
15,55,99,255.0,True,255.0,216,1.1805555555555556,0.18055555555555555,1.084,789,PathIntegralAnnealingSampler
20,96,0,2668.0,False,,463,,,2.343,123,PathIntegralAnnealingSampler
