n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
15,55,83,222.0,True,222.0,212,1.0471698113207548,0.04716981132075472,1.286,123,PathIntegralAnnealingSampler
15,54,84,203.0,True,203.0,199,1.020100502512563,0.020100502512562814,1.243,42,PathIntegralAnnealingSampler
15,52,85,191.0,True,191.0,188,1.0159574468085106,0.015957446808510637,1.225,42,PathIntegralAnnealingSampler
15,61,86,244.0,True,244.0,243,1.0041152263374487,0.00411522633744856,1.238,123,PathIntegralAnnealingSampler
15,57,87,200.0,True,200.0,199,1.0050251256281406,0.005025125628140704,1.235,789,PathIntegralAnnealingSampler
15,55,88,224.0,True,224.0,222,1.009009009009009,0.009009009009009009,1.238,123,PathIntegralAnnealingSampler
15,43,89,153.0,False,,147,,,1.235,456,PathIntegralAnnealingSampler
15,50,90,184.0,True,184.0,182,1.010989010989011,0.01098901098901099,1.219,123,PathIntegralAnnealingSampler
15,51,91,196.0,True,196.0,197,0.9949238578680203,-0.005076142131979695,1.214,999,PathIntegralAnnealingSampler
15,50,92,193.0,True,193.0,191,1.0104712041884816,0.010471204188481676,1.21,789,PathIntegralAnnealingSampler
15,55,93,217.0,True,217.0,208,1.0432692307692308,0.04326923076923077,1.201,789,PathIntegralAnnealingSampler
15,58,94,233.0,False,,235,,,1.219,789,PathIntegralAnnealingSampler
15,61,95,244.0,True,244.0,245,0.9959183673469387,-0.004081632653061225,1.208,42,PathIntegralAnnealingSampler
15,50,96,179.0,True,179.0,176,1.0170454545454546,0.017045454545454544,1.22,456,PathIntegralAnnealingSampler
15,59,97,229.0,True,229.0,227,1.0088105726872247,0.00881057268722467,1.217,42,PathIntegralAnnealingSampler
15,63,98,245.0,True,245.0,242,1.012396694214876,0.012396694214876033,1.221,123,PathIntegralAnnealingSampler
15,55,99,218.0,True,218.0,216,1.0092592592592593,0.009259259259259259,1.233,456,PathIntegralAnnealingSampler
20,96,0,472.0,True,472.0,463,1.019438444924406,0.019438444924406047,2.586,123,PathIntegralAnnealingSampler
20,113,1,626.0,True,626.0,619,1.011308562197092,0.011308562197092083,2.602,456,PathIntegralAnnealingSampler
20,84,2,415.0,True,415.0,404,1.0272277227722773,0.027227722772277228,2.689,123,PathIntegralAnnealingSampler
20,99,3,523.0,False,,503,,,2.618,42,PathIntegralAnnealingSampler
20,75,4,343.0,True,343.0,342,1.0029239766081872,0.0029239766081871343,2.783,42,PathIntegralAnnealingSampler
20,95,5,507.0,True,507.0,509,0.9960707269155207,-0.003929273084479371,2.846,999,PathIntegralAnnealingSampler
20,92,6,479.0,True,479.0,470,1.0191489361702128,0.019148936170212766,2.68,999,PathIntegralAnnealingSampler
20,94,7,499.0,True,499.0,485,1.0288659793814432,0.0288659793814433,2.588,999,PathIntegralAnnealingSampler
20,95,8,459.0,True,459.0,452,1.0154867256637168,0.015486725663716814,2.605,789,PathIntegralAnnealingSampler
20,96,9,498.0,False,,489,,,2.651,789,PathIntegralAnnealingSampler
20,98,10,500.0,True,500.0,488,1.0245901639344261,0.02459016393442623,2.658,42,PathIntegralAnnealingSampler
20,96,11,508.0,True,508.0,496,1.0241935483870968,0.024193548387096774,2.632,789,PathIntegralAnnealingSampler
20,89,12,429.0,True,429.0,425,1.0094117647058825,0.009411764705882352,2.628,42,PathIntegralAnnealingSampler
20,93,13,488.0,True,488.0,475,1.0273684210526315,0.02736842105263158,2.601,999,PathIntegralAnnealingSampler
20,101,14,517.0,True,517.0,513,1.0077972709551657,0.007797270955165692,2.689,789,PathIntegralAnnealingSampler
20,91,15,450.0,True,450.0,439,1.0250569476082005,0.025056947608200455,2.654,123,PathIntegralAnnealingSampler
20,85,16,425.0,True,425.0,411,1.0340632603406326,0.0340632603406326,2.634,999,PathIntegralAnnealingSampler
20,99,17,548.0,False,,529,,,2.626,789,PathIntegralAnnealingSampler
20,99,18,495.0,True,495.0,488,1.014344262295082,0.014344262295081968,2.634,456,PathIntegralAnnealingSampler
20,93,19,490.0,True,490.0,478,1.0251046025104602,0.02510460251046025,2.801,789,PathIntegralAnnealingSampler
20,104,20,529.0,True,529.0,524,1.0095419847328244,0.009541984732824428,2.774,123,PathIntegralAnnealingSampler
20,100,21,533.0,True,533.0,532,1.0018796992481203,0.0018796992481203006,2.867,42,PathIntegralAnnealingSampler
20,87,22,402.0,True,402.0,398,1.0100502512562815,0.010050251256281407,2.837,456,PathIntegralAnnealingSampler
20,97,23,495.0,False,,495,,,2.803,999,PathIntegralAnnealingSampler
20,95,24,470.0,True,470.0,468,1.0042735042735043,0.004273504273504274,2.613,999,PathIntegralAnnealingSampler
20,99,25,519.0,True,519.0,516,1.005813953488372,0.005813953488372093,2.688,123,PathIntegralAnnealingSampler
20,103,26,531.0,True,531.0,527,1.0075901328273245,0.007590132827324478,2.853,42,PathIntegralAnnealingSampler
20,102,27,548.0,True,548.0,546,1.0036630036630036,0.003663003663003663,2.66,999,PathIntegralAnnealingSampler
20,92,28,456.0,True,456.0,447,1.0201342281879195,0.020134228187919462,2.596,123,PathIntegralAnnealingSampler
20,84,29,431.0,True,431.0,423,1.0189125295508275,0.018912529550827423,2.624,999,PathIntegralAnnealingSampler
20,80,30,384.0,True,384.0,380,1.0105263157894737,0.010526315789473684,2.715,999,PathIntegralAnnealingSampler
20,91,31,488.0,True,488.0,489,0.9979550102249489,-0.002044989775051125,2.606,789,PathIntegralAnnealingSampler
20,96,32,504.0,True,504.0,496,1.0161290322580645,0.016129032258064516,2.613,123,PathIntegralAnnealingSampler
20,94,33,480.0,True,480.0,473,1.014799154334038,0.014799154334038054,2.652,456,PathIntegralAnnealingSampler
20,96,34,513.0,True,513.0,509,1.0078585461689586,0.007858546168958742,2.64,42,PathIntegralAnnealingSampler
20,89,35,449.0,True,449.0,442,1.0158371040723981,0.01583710407239819,2.636,42,PathIntegralAnnealingSampler
