n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
15,62,61,247.0,True,247.0,244,1.0122950819672132,0.012295081967213115,3.366,PathIntegralAnnealingSampler
15,53,62,191.0,True,191.0,191,1.0,0.0,3.291,PathIntegralAnnealingSampler
15,51,63,187.0,True,187.0,185,1.0108108108108107,0.010810810810810811,3.576,PathIntegralAnnealingSampler
15,44,64,152.0,True,152.0,150,1.0133333333333334,0.013333333333333334,3.383,PathIntegralAnnealingSampler
15,55,65,197.0,True,197.0,191,1.031413612565445,0.031413612565445025,3.376,PathIntegralAnnealingSampler
15,50,66,195.0,False,,187,,,3.364,PathIntegralAnnealingSampler
15,50,67,183.0,True,183.0,178,1.0280898876404494,0.028089887640449437,3.337,PathIntegralAnnealingSampler
15,56,68,224.0,True,224.0,219,1.0228310502283104,0.0228310502283105,3.453,PathIntegralAnnealingSampler
15,49,69,186.0,True,186.0,177,1.0508474576271187,0.05084745762711865,3.343,PathIntegralAnnealingSampler
15,50,70,191.0,True,191.0,189,1.0105820105820107,0.010582010582010581,3.469,PathIntegralAnnealingSampler
15,57,71,232.0,True,232.0,226,1.0265486725663717,0.02654867256637168,3.57,PathIntegralAnnealingSampler
15,53,72,214.0,True,214.0,206,1.0388349514563107,0.038834951456310676,3.437,PathIntegralAnnealingSampler
15,57,73,240.0,True,240.0,224,1.0714285714285714,0.07142857142857142,3.405,PathIntegralAnnealingSampler
15,51,74,177.0,True,177.0,175,1.0114285714285713,0.011428571428571429,3.4,PathIntegralAnnealingSampler
15,52,75,208.0,False,,197,,,3.439,PathIntegralAnnealingSampler
15,53,76,193.0,True,193.0,189,1.0211640211640212,0.021164021164021163,3.604,PathIntegralAnnealingSampler
15,52,77,192.0,True,192.0,191,1.0052356020942408,0.005235602094240838,3.457,PathIntegralAnnealingSampler
15,52,78,198.0,True,198.0,186,1.064516129032258,0.06451612903225806,3.429,PathIntegralAnnealingSampler
15,50,79,188.0,True,188.0,179,1.0502793296089385,0.05027932960893855,3.338,PathIntegralAnnealingSampler
15,57,80,234.0,True,234.0,226,1.0353982300884956,0.035398230088495575,3.417,PathIntegralAnnealingSampler
15,59,81,250.0,True,250.0,238,1.050420168067227,0.05042016806722689,3.353,PathIntegralAnnealingSampler
15,44,82,155.0,True,155.0,153,1.0130718954248366,0.013071895424836602,3.382,PathIntegralAnnealingSampler
15,55,83,217.0,False,,212,,,3.272,PathIntegralAnnealingSampler
15,54,84,201.0,True,201.0,199,1.0100502512562815,0.010050251256281407,3.363,PathIntegralAnnealingSampler
15,52,85,190.0,True,190.0,188,1.0106382978723405,0.010638297872340425,3.382,PathIntegralAnnealingSampler
15,61,86,246.0,True,246.0,243,1.0123456790123457,0.012345679012345678,3.398,PathIntegralAnnealingSampler
15,57,87,201.0,True,201.0,199,1.0100502512562815,0.010050251256281407,3.476,PathIntegralAnnealingSampler
15,55,88,227.0,True,227.0,222,1.0225225225225225,0.02252252252252252,3.33,PathIntegralAnnealingSampler
15,43,89,153.0,False,,147,,,3.269,PathIntegralAnnealingSampler
15,50,90,188.0,True,188.0,182,1.032967032967033,0.03296703296703297,3.282,PathIntegralAnnealingSampler
15,51,91,202.0,True,202.0,197,1.0253807106598984,0.025380710659898477,3.296,PathIntegralAnnealingSampler
15,50,92,199.0,True,199.0,191,1.0418848167539267,0.041884816753926704,3.44,PathIntegralAnnealingSampler
15,55,93,215.0,True,215.0,208,1.0336538461538463,0.03365384615384615,3.365,PathIntegralAnnealingSampler
15,58,94,237.0,True,237.0,235,1.0085106382978724,0.00851063829787234,3.43,PathIntegralAnnealingSampler
15,61,95,247.0,True,247.0,245,1.0081632653061225,0.00816326530612245,3.41,PathIntegralAnnealingSampler
15,50,96,184.0,True,184.0,176,1.0454545454545454,0.045454545454545456,3.304,PathIntegralAnnealingSampler
15,59,97,236.0,True,236.0,227,1.039647577092511,0.039647577092511016,3.32,PathIntegralAnnealingSampler
15,63,98,245.0,True,245.0,242,1.012396694214876,0.012396694214876033,3.48,PathIntegralAnnealingSampler
