n,m,beta_min,beta_max,beta_schedule_type,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
25,146,0.0005,100000.0,linear,1657.0,False,,924,,6.832
25,146,0.0005,500000.0,linear,1644.0,False,,924,,6.856
25,146,0.0005,1000000.0,linear,1670.0,False,,924,,6.979
25,146,0.0001,0.0005,linear,22332.0,False,,924,,7.029
25,146,0.0001,0.0001,linear,23813.0,False,,924,,6.874
25,146,0.0001,0.005,linear,8442.0,False,,924,,6.865
25,146,0.0001,0.001,linear,19587.0,False,,924,,6.92
25,146,0.0001,0.05,linear,2760.0,False,,924,,7.024
25,146,0.0001,0.01,linear,5006.0,False,,924,,7.016
25,146,0.0001,0.5,linear,1002.0,False,,924,,7.022
25,146,0.0001,1.0,linear,1021.0,False,,924,,7.036
25,146,0.0001,5.0,linear,1130.0,False,,924,,6.936
25,146,0.0001,10.0,linear,1234.0,False,,924,,6.881
25,146,0.0001,50.0,linear,1429.0,False,,924,,6.949
25,146,0.0001,100.0,linear,1603.0,False,,924,,6.957
25,146,0.0001,500.0,linear,1700.0,False,,924,,6.84
25,146,0.0001,1000.0,linear,1694.0,False,,924,,6.961
25,146,0.0001,5000.0,linear,1696.0,False,,924,,7.015
25,146,0.0001,10000.0,linear,1753.0,False,,924,,7.046
25,146,0.0001,50000.0,linear,1657.0,False,,924,,6.99
25,146,0.0001,100000.0,linear,1657.0,False,,924,,6.978
25,146,0.0001,500000.0,linear,1699.0,False,,924,,6.928
25,146,0.0001,1000000.0,linear,1639.0,False,,924,,6.997
25,146,0.005,0.005,linear,8177.0,False,,924,,6.962
25,146,0.005,0.05,linear,2588.0,False,,924,,7.174
25,146,0.005,0.01,linear,5497.0,False,,924,,6.944
25,146,0.005,0.5,linear,996.0,False,,924,,6.986
25,146,0.005,1.0,linear,1018.0,False,,924,,6.973
25,146,0.005,5.0,linear,1137.0,False,,924,,7.086
25,146,0.005,10.0,linear,1242.0,False,,924,,6.988
25,146,0.005,50.0,linear,1502.0,False,,924,,6.928
25,146,0.005,100.0,linear,1463.0,False,,924,,7.074
25,146,0.005,500.0,linear,1635.0,False,,924,,7.044
25,146,0.005,1000.0,linear,1678.0,False,,924,,7.052
25,146,0.005,5000.0,linear,1659.0,False,,924,,6.908
25,146,0.005,10000.0,linear,1657.0,False,,924,,7.097
25,146,0.005,50000.0,linear,1580.0,False,,924,,6.963
25,146,0.005,100000.0,linear,1600.0,False,,924,,7.037
25,146,0.005,500000.0,linear,1746.0,False,,924,,7.098
25,146,0.005,1000000.0,linear,1777.0,False,,924,,7.029
25,146,0.001,0.005,linear,8886.0,False,,924,,7.038
25,146,0.001,0.001,linear,18183.0,False,,924,,7.091
25,146,0.001,0.05,linear,2761.0,False,,924,,7.046
25,146,0.001,0.01,linear,5341.0,False,,924,,7.066
25,146,0.001,0.5,linear,975.0,False,,924,,7.278
25,146,0.001,1.0,linear,1051.0,False,,924,,7.172
25,146,0.001,5.0,linear,1176.0,False,,924,,7.144
25,146,0.001,10.0,linear,1280.0,False,,924,,7.185
25,146,0.001,50.0,linear,1508.0,False,,924,,7.148
25,146,0.001,100.0,linear,1584.0,False,,924,,7.243
25,146,0.001,500.0,linear,1667.0,False,,924,,7.267
25,146,0.001,1000.0,linear,1592.0,False,,924,,7.208
25,146,0.001,5000.0,linear,1734.0,False,,924,,7.141
25,146,0.001,10000.0,linear,1688.0,False,,924,,7.571
25,146,0.001,50000.0,linear,1670.0,False,,924,,7.079
25,146,0.001,100000.0,linear,1717.0,False,,924,,7.075
25,146,0.001,500000.0,linear,1713.0,False,,924,,7.12
25,146,0.001,1000000.0,linear,1637.0,False,,924,,7.221
25,146,0.05,0.05,linear,2778.0,False,,924,,7.074
25,146,0.05,0.5,linear,985.0,False,,924,,7.103
25,146,0.05,1.0,linear,1035.0,False,,924,,7.083
25,146,0.05,5.0,linear,1129.0,False,,924,,6.926
25,146,0.05,10.0,linear,1267.0,False,,924,,7.058
25,146,0.05,50.0,linear,1511.0,False,,924,,7.121
25,146,0.05,100.0,linear,1483.0,False,,924,,7.085
25,146,0.05,500.0,linear,1649.0,False,,924,,6.861
25,146,0.05,1000.0,linear,1725.0,False,,924,,6.838
25,146,0.05,5000.0,linear,1745.0,False,,924,,7.137
25,146,0.05,10000.0,linear,1698.0,False,,924,,7.31
25,146,0.05,50000.0,linear,1678.0,False,,924,,7.324
25,146,0.05,100000.0,linear,1755.0,False,,924,,6.913
25,146,0.05,500000.0,linear,1622.0,False,,924,,6.968
25,146,0.05,1000000.0,linear,1631.0,False,,924,,6.903
25,146,0.01,0.05,linear,2763.0,False,,924,,6.916
25,146,0.01,0.01,linear,5543.0,False,,924,,7.012
25,146,0.01,0.5,linear,986.0,False,,924,,6.868
25,146,0.01,1.0,linear,1019.0,False,,924,,6.96
25,146,0.01,5.0,linear,1192.0,False,,924,,6.991
25,146,0.01,10.0,linear,1268.0,False,,924,,7.059
25,146,0.01,50.0,linear,1530.0,False,,924,,6.923
25,146,0.01,100.0,linear,1557.0,False,,924,,6.77
25,146,0.01,500.0,linear,1685.0,False,,924,,7.173
25,146,0.01,1000.0,linear,1661.0,False,,924,,7.164
25,146,0.01,5000.0,linear,1716.0,False,,924,,7.099
25,146,0.01,10000.0,linear,1618.0,False,,924,,6.925
25,146,0.01,50000.0,linear,1616.0,False,,924,,6.956
25,146,0.01,100000.0,linear,1711.0,False,,924,,7.421
25,146,0.01,500000.0,linear,1731.0,False,,924,,7.206
25,146,0.01,1000000.0,linear,1727.0,False,,924,,7.186
25,146,0.5,0.5,linear,1112.0,False,,924,,7.289
25,146,0.5,1.0,linear,1217.0,False,,924,,7.275
25,146,0.5,5.0,linear,1533.0,False,,924,,7.423
25,146,0.5,10.0,linear,1551.0,False,,924,,7.111
25,146,0.5,50.0,linear,1612.0,False,,924,,7.038
25,146,0.5,100.0,linear,1662.0,False,,924,,7.318
25,146,0.5,500.0,linear,1666.0,False,,924,,7.163
25,146,0.5,1000.0,linear,1699.0,False,,924,,7.113
25,146,0.5,5000.0,linear,1759.0,False,,924,,7.151
25,146,0.5,10000.0,linear,1659.0,False,,924,,7.268
25,146,0.5,50000.0,linear,1706.0,False,,924,,7.024
25,146,0.5,100000.0,linear,1675.0,False,,924,,7.121
25,146,0.5,500000.0,linear,1722.0,False,,924,,7.326
25,146,0.5,1000000.0,linear,1716.0,False,,924,,7.184
25,146,1.0,1.0,linear,1428.0,False,,924,,7.261
25,146,1.0,5.0,linear,1481.0,False,,924,,7.146
25,146,1.0,10.0,linear,1621.0,False,,924,,7.335
25,146,1.0,50.0,linear,1615.0,False,,924,,7.236
25,146,1.0,100.0,linear,1637.0,False,,924,,7.197
25,146,1.0,500.0,linear,1644.0,False,,924,,7.082
25,146,1.0,1000.0,linear,1693.0,False,,924,,6.99
25,146,1.0,5000.0,linear,1729.0,False,,924,,7.091
25,146,1.0,10000.0,linear,1701.0,False,,924,,7.001
25,146,1.0,50000.0,linear,1721.0,False,,924,,6.974
25,146,1.0,100000.0,linear,1702.0,False,,924,,7.032
25,146,1.0,500000.0,linear,1652.0,False,,924,,7.021
25,146,1.0,1000000.0,linear,1676.0,False,,924,,7.008
25,146,5.0,5.0,linear,1584.0,False,,924,,7.067
25,146,5.0,10.0,linear,1691.0,False,,924,,7.015
25,146,5.0,50.0,linear,1701.0,False,,924,,7.127
25,146,5.0,100.0,linear,1609.0,False,,924,,6.969
25,146,5.0,500.0,linear,1728.0,False,,924,,7.11
25,146,5.0,1000.0,linear,1670.0,False,,924,,7.097
25,146,5.0,5000.0,linear,1617.0,False,,924,,7.101
25,146,5.0,10000.0,linear,1710.0,False,,924,,7.035
25,146,5.0,50000.0,linear,1704.0,False,,924,,7.026
25,146,5.0,100000.0,linear,1724.0,False,,924,,7.073
25,146,5.0,500000.0,linear,1697.0,False,,924,,7.038
25,146,5.0,1000000.0,linear,1691.0,False,,924,,7.13
25,146,10.0,10.0,linear,1671.0,False,,924,,7.084
25,146,10.0,50.0,linear,1646.0,False,,924,,7.027
25,146,10.0,100.0,linear,1626.0,False,,924,,7.032
25,146,10.0,500.0,linear,1749.0,False,,924,,7.098
25,146,10.0,1000.0,linear,1688.0,False,,924,,7.039
25,146,10.0,5000.0,linear,1611.0,False,,924,,7.007
25,146,10.0,10000.0,linear,1676.0,False,,924,,7.126
25,146,10.0,50000.0,linear,1678.0,False,,924,,7.023
25,146,10.0,100000.0,linear,1735.0,False,,924,,7.017
25,146,10.0,500000.0,linear,1706.0,False,,924,,7.031
25,146,10.0,1000000.0,linear,1721.0,False,,924,,7.007
25,146,50.0,50.0,linear,1724.0,False,,924,,7.086
25,146,50.0,100.0,linear,1754.0,False,,924,,7.063
25,146,50.0,500.0,linear,1753.0,False,,924,,6.97
25,146,50.0,1000.0,linear,1733.0,False,,924,,7.04
25,146,50.0,5000.0,linear,1714.0,False,,924,,7.079
25,146,50.0,10000.0,linear,1657.0,False,,924,,6.997
25,146,50.0,50000.0,linear,1701.0,False,,924,,7.121
25,146,50.0,100000.0,linear,1772.0,False,,924,,7.183
25,146,50.0,500000.0,linear,1621.0,False,,924,,7.071
25,146,50.0,1000000.0,linear,1692.0,False,,924,,7.053
25,146,100.0,100.0,linear,1642.0,False,,924,,7.025
25,146,100.0,500.0,linear,1656.0,False,,924,,7.173
25,146,100.0,1000.0,linear,1695.0,False,,924,,7.261
25,146,100.0,5000.0,linear,1688.0,False,,924,,7.136
25,146,100.0,10000.0,linear,1719.0,False,,924,,7.124
25,146,100.0,50000.0,linear,1715.0,False,,924,,7.155
25,146,100.0,100000.0,linear,1717.0,False,,924,,7.203
25,146,100.0,500000.0,linear,1696.0,False,,924,,7.223
25,146,100.0,1000000.0,linear,1728.0,False,,924,,7.172
25,146,500.0,500.0,linear,1665.0,False,,924,,7.225
25,146,500.0,1000.0,linear,1753.0,False,,924,,7.249
25,146,500.0,5000.0,linear,1700.0,False,,924,,7.271
25,146,500.0,10000.0,linear,1652.0,False,,924,,7.399
25,146,500.0,50000.0,linear,1680.0,False,,924,,7.24
25,146,500.0,100000.0,linear,1645.0,False,,924,,7.286
25,146,500.0,500000.0,linear,1721.0,False,,924,,7.06
25,146,500.0,1000000.0,linear,1740.0,False,,924,,7.149
25,146,1000.0,1000.0,linear,1765.0,False,,924,,7.074
25,146,1000.0,5000.0,linear,1642.0,False,,924,,7.26
25,146,1000.0,10000.0,linear,1720.0,False,,924,,7.204
25,146,1000.0,50000.0,linear,1690.0,False,,924,,7.251
25,146,1000.0,100000.0,linear,1757.0,False,,924,,7.259
25,146,1000.0,500000.0,linear,1764.0,False,,924,,7.231
25,146,1000.0,1000000.0,linear,1720.0,False,,924,,7.098
25,146,5000.0,5000.0,linear,1745.0,False,,924,,7.221
25,146,5000.0,10000.0,linear,1654.0,False,,924,,7.177
25,146,5000.0,50000.0,linear,1733.0,False,,924,,7.063
25,146,5000.0,100000.0,linear,1740.0,False,,924,,7.123
25,146,5000.0,500000.0,linear,1741.0,False,,924,,7.072
25,146,5000.0,1000000.0,linear,1718.0,False,,924,,7.167
25,146,10000.0,10000.0,linear,1554.0,False,,924,,7.341
25,146,10000.0,50000.0,linear,1693.0,False,,924,,7.207
25,146,10000.0,100000.0,linear,1747.0,False,,924,,7.123
25,146,10000.0,500000.0,linear,1729.0,False,,924,,7.114
25,146,10000.0,1000000.0,linear,1615.0,False,,924,,7.012
25,146,50000.0,50000.0,linear,1682.0,False,,924,,7.065
25,146,50000.0,100000.0,linear,1694.0,False,,924,,7.104
25,146,50000.0,500000.0,linear,1657.0,False,,924,,7.064
25,146,50000.0,1000000.0,linear,1710.0,False,,924,,7.026
25,146,100000.0,100000.0,linear,1710.0,False,,924,,7.057
25,146,100000.0,500000.0,linear,1678.0,False,,924,,7.097
25,146,100000.0,1000000.0,linear,1682.0,False,,924,,7.172
25,146,500000.0,500000.0,linear,1721.0,False,,924,,6.94
25,146,500000.0,1000000.0,linear,1725.0,False,,924,,7.148
25,146,1000000.0,1000000.0,linear,1653.0,False,,924,,7.135
