n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
10,24,70,63.0,True,63.0,63,1.0,0.0,0.369,42,PathIntegralAnnealingSampler
10,25,71,68.0,True,68.0,68,1.0,0.0,0.365,123,PathIntegralAnnealingSampler
10,19,72,44.0,True,44.0,44,1.0,0.0,0.367,42,PathIntegralAnnealingSampler
10,23,73,54.0,True,54.0,54,1.0,0.0,0.349,42,PathIntegralAnnealingSampler
10,28,74,77.0,True,77.0,77,1.0,0.0,0.366,999,PathIntegralAnnealingSampler
10,27,75,68.0,True,68.0,68,1.0,0.0,0.357,123,PathIntegralAnnealingSampler
10,13,76,23.0,True,23.0,23,1.0,0.0,0.361,42,PathIntegralAnnealingSampler
10,20,77,49.0,True,49.0,49,1.0,0.0,0.366,999,PathIntegralAnnealingSampler
10,23,78,56.0,True,56.0,56,1.0,0.0,0.367,42,PathIntegralAnnealingSampler
10,26,79,64.0,True,64.0,64,1.0,0.0,0.35,42,PathIntegralAnnealingSampler
10,20,80,51.0,True,51.0,50,1.02,0.02,0.36,42,PathIntegralAnnealingSampler
10,20,81,47.0,True,47.0,47,1.0,0.0,0.353,42,PathIntegralAnnealingSampler
10,23,82,57.0,True,57.0,57,1.0,0.0,0.368,42,PathIntegralAnnealingSampler
10,26,83,68.0,True,68.0,67,1.0149253731343284,0.014925373134328358,0.364,42,PathIntegralAnnealingSampler
10,19,84,41.0,True,41.0,41,1.0,0.0,0.359,42,PathIntegralAnnealingSampler
10,19,85,38.0,True,38.0,38,1.0,0.0,0.361,456,PathIntegralAnnealingSampler
10,22,86,53.0,True,53.0,52,1.0192307692307692,0.019230769230769232,0.361,999,PathIntegralAnnealingSampler
10,22,87,53.0,True,53.0,53,1.0,0.0,0.366,789,PathIntegralAnnealingSampler
10,28,88,71.0,True,71.0,71,1.0,0.0,0.364,789,PathIntegralAnnealingSampler
10,20,89,48.0,True,48.0,47,1.0212765957446808,0.02127659574468085,0.361,123,PathIntegralAnnealingSampler
10,22,90,53.0,True,53.0,53,1.0,0.0,0.355,42,PathIntegralAnnealingSampler
10,19,91,44.0,True,44.0,43,1.0232558139534884,0.023255813953488372,0.356,789,PathIntegralAnnealingSampler
10,25,92,65.0,True,65.0,64,1.015625,0.015625,0.347,123,PathIntegralAnnealingSampler
10,23,93,56.0,True,56.0,56,1.0,0.0,0.36,456,PathIntegralAnnealingSampler
10,24,94,57.0,True,57.0,57,1.0,0.0,0.356,42,PathIntegralAnnealingSampler
10,20,95,42.0,True,42.0,42,1.0,0.0,0.355,42,PathIntegralAnnealingSampler
10,17,96,30.0,True,30.0,30,1.0,0.0,0.364,123,PathIntegralAnnealingSampler
10,19,97,43.0,True,43.0,42,1.0238095238095237,0.023809523809523808,0.36,42,PathIntegralAnnealingSampler
10,26,98,70.0,True,70.0,70,1.0,0.0,0.353,456,PathIntegralAnnealingSampler
10,22,99,52.0,True,52.0,52,1.0,0.0,0.366,42,PathIntegralAnnealingSampler
15,52,0,199.0,True,199.0,195,1.0205128205128204,0.020512820512820513,1.045,999,PathIntegralAnnealingSampler
15,54,1,207.0,True,207.0,205,1.0097560975609756,0.00975609756097561,1.027,456,PathIntegralAnnealingSampler
15,47,2,166.0,True,166.0,165,1.006060606060606,0.006060606060606061,1.054,456,PathIntegralAnnealingSampler
15,53,3,193.0,True,193.0,190,1.0157894736842106,0.015789473684210527,1.043,42,PathIntegralAnnealingSampler
15,45,4,164.0,True,164.0,161,1.0186335403726707,0.018633540372670808,1.038,123,PathIntegralAnnealingSampler
15,53,5,179.0,True,179.0,179,1.0,0.0,1.037,456,PathIntegralAnnealingSampler
15,56,6,208.0,True,208.0,206,1.0097087378640777,0.009708737864077669,1.058,999,PathIntegralAnnealingSampler
15,50,7,188.0,True,188.0,183,1.0273224043715847,0.0273224043715847,1.06,456,PathIntegralAnnealingSampler
15,53,8,186.0,True,186.0,184,1.0108695652173914,0.010869565217391304,1.032,999,PathIntegralAnnealingSampler
15,51,9,182.0,True,182.0,177,1.0282485875706215,0.02824858757062147,1.062,42,PathIntegralAnnealingSampler
15,45,10,151.0,True,151.0,150,1.0066666666666666,0.006666666666666667,1.044,42,PathIntegralAnnealingSampler
15,47,11,171.0,True,171.0,169,1.0118343195266273,0.011834319526627219,1.05,123,PathIntegralAnnealingSampler
15,51,12,195.0,True,195.0,188,1.0372340425531914,0.03723404255319149,1.051,123,PathIntegralAnnealingSampler
15,53,13,206.0,True,206.0,207,0.9951690821256038,-0.004830917874396135,1.034,999,PathIntegralAnnealingSampler
15,54,14,200.0,True,200.0,197,1.015228426395939,0.015228426395939087,1.034,456,PathIntegralAnnealingSampler
15,50,15,188.0,True,188.0,183,1.0273224043715847,0.0273224043715847,1.017,123,PathIntegralAnnealingSampler
15,52,16,184.0,True,184.0,183,1.005464480874317,0.00546448087431694,1.043,456,PathIntegralAnnealingSampler
15,51,17,189.0,True,189.0,184,1.0271739130434783,0.02717391304347826,1.026,999,PathIntegralAnnealingSampler
15,56,18,217.0,True,217.0,214,1.014018691588785,0.014018691588785047,1.065,42,PathIntegralAnnealingSampler
15,45,19,151.0,True,151.0,150,1.0066666666666666,0.006666666666666667,1.057,789,PathIntegralAnnealingSampler
15,54,20,200.0,True,200.0,200,1.0,0.0,1.034,456,PathIntegralAnnealingSampler
15,50,21,186.0,True,186.0,183,1.0163934426229508,0.01639344262295082,1.032,123,PathIntegralAnnealingSampler
15,54,22,212.0,True,212.0,207,1.0241545893719808,0.024154589371980676,1.023,456,PathIntegralAnnealingSampler
15,55,23,220.0,True,220.0,216,1.0185185185185186,0.018518518518518517,1.027,42,PathIntegralAnnealingSampler
15,56,24,227.0,True,227.0,218,1.0412844036697249,0.04128440366972477,1.052,123,PathIntegralAnnealingSampler
15,53,25,187.0,True,187.0,183,1.0218579234972678,0.02185792349726776,1.038,789,PathIntegralAnnealingSampler
