config_id,graph_index,n,m,num_reads,num_sweeps,beta_min,beta_max,gamma,trotter,sparse,reinitialize_state,schedule_name,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s,status,error
179,0,30,227,10,1000,0.01,5.0,2.0,8,True,True,concave,1857.0,False,,1848,,1.3317,OK,
180,0,30,227,10,1000,0.01,5.0,2.0,8,True,True,convex,2201.0,False,,1848,,0.8999,OK,
181,0,30,227,10,1000,0.01,10.0,0.5,4,True,True,linear,2195.0,False,,1848,,0.6486,OK,
182,0,30,227,10,1000,0.01,10.0,0.5,4,True,True,concave,2091.0,False,,1848,,0.7114,OK,
183,0,30,227,10,1000,0.01,10.0,0.5,4,True,True,convex,2771.0,False,,1848,,0.6621,OK,
184,0,30,227,10,1000,0.01,10.0,0.5,8,True,True,linear,2404.0,False,,1848,,0.8152,OK,
185,0,30,227,10,1000,0.01,10.0,0.5,8,True,True,concave,2080.0,False,,1848,,0.8687,OK,
186,0,30,227,10,1000,0.01,10.0,0.5,8,True,True,convex,2879.0,False,,1848,,0.8528,OK,
187,0,30,227,10,1000,0.01,10.0,1.0,4,True,True,linear,1975.0,False,,1848,,0.7208,OK,
188,0,30,227,10,1000,0.01,10.0,1.0,4,True,True,concave,2032.0,False,,1848,,0.7757,OK,
189,0,30,227,10,1000,0.01,10.0,1.0,4,True,True,convex,2146.0,False,,1848,,0.5911,OK,
190,0,30,227,10,1000,0.01,10.0,1.0,8,True,True,linear,1996.0,False,,1848,,0.8385,OK,
191,0,30,227,10,1000,0.01,10.0,1.0,8,True,True,concave,1927.0,False,,1848,,0.9573,OK,
192,0,30,227,10,1000,0.01,10.0,1.0,8,True,True,convex,2215.0,False,,1848,,0.7888,OK,
193,0,30,227,10,1000,0.01,10.0,2.0,4,True,True,linear,2148.0,False,,1848,,0.7457,OK,
194,0,30,227,10,1000,0.01,10.0,2.0,4,True,True,concave,3346.0,False,,1848,,0.7552,OK,
195,0,30,227,10,1000,0.01,10.0,2.0,4,True,True,convex,2029.0,False,,1848,,0.6382,OK,
196,0,30,227,10,1000,0.01,10.0,2.0,8,True,True,linear,1825.0,False,,1848,,1.0043,OK,
197,0,30,227,10,1000,0.01,10.0,2.0,8,True,True,concave,1986.0,False,,1848,,1.0879,OK,
198,0,30,227,10,1000,0.01,10.0,2.0,8,True,True,convex,1933.0,False,,1848,,0.8049,OK,
199,0,30,227,10,1000,0.01,50.0,0.5,4,True,True,linear,2155.0,False,,1848,,0.6765,OK,
200,0,30,227,10,1000,0.01,50.0,0.5,4,True,True,concave,2968.0,False,,1848,,0.7389,OK,
201,0,30,227,10,1000,0.01,50.0,0.5,4,True,True,convex,2421.0,False,,1848,,0.7636,OK,
202,0,30,227,10,1000,0.01,50.0,0.5,8,True,True,linear,2034.0,False,,1848,,1.0134,OK,
203,0,30,227,10,1000,0.01,50.0,0.5,8,True,True,concave,2142.0,False,,1848,,1.055,OK,
204,0,30,227,10,1000,0.01,50.0,0.5,8,True,True,convex,2470.0,False,,1848,,0.9113,OK,
205,0,30,227,10,1000,0.01,50.0,1.0,4,True,True,linear,2469.0,False,,1848,,1.2321,OK,
206,0,30,227,10,1000,0.01,50.0,1.0,4,True,True,concave,2970.0,False,,1848,,3.1055,OK,
207,0,30,227,10,1000,0.01,50.0,1.0,4,True,True,convex,2034.0,False,,1848,,1.1771,OK,
208,0,30,227,10,1000,0.01,50.0,1.0,8,True,True,linear,1882.0,False,,1848,,1.2734,OK,
209,0,30,227,10,1000,0.01,50.0,1.0,8,True,True,concave,2973.0,False,,1848,,1.0892,OK,
210,0,30,227,10,1000,0.01,50.0,1.0,8,True,True,convex,2004.0,False,,1848,,0.8856,OK,
211,0,30,227,10,1000,0.01,50.0,2.0,4,True,True,linear,2947.0,False,,1848,,0.7465,OK,
212,0,30,227,10,1000,0.01,50.0,2.0,4,True,True,concave,3362.0,False,,1848,,0.663,OK,
213,0,30,227,10,1000,0.01,50.0,2.0,4,True,True,convex,2239.0,False,,1848,,0.7248,OK,
214,0,30,227,10,1000,0.01,50.0,2.0,8,True,True,linear,2677.0,False,,1848,,1.0165,OK,
215,0,30,227,10,1000,0.01,50.0,2.0,8,True,True,concave,2821.0,False,,1848,,0.9914,OK,
216,0,30,227,10,1000,0.01,50.0,2.0,8,True,True,convex,1966.0,False,,1848,,1.0101,OK,
