n,m,beta_min,beta_max,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
10,26,0.05,5.0,2.3020134228189137,False,,67,,0.293
10,26,0.05,10.0,1.4093959731544796,False,,67,,0.294
10,26,0.05,50.0,0.5838926174498189,False,,67,,0.29
10,26,0.05,100.0,0.5033557046981461,True,75.0,67,0.11940298507462686,0.288
10,26,0.05,500.0,0.46308724832229764,True,69.0,67,0.029850746268656716,0.295
10,26,0.05,1000.0,0.4899328859061951,True,73.0,67,0.08955223880597014,0.293
10,26,0.05,5000.0,0.5234899328860525,True,78.0,67,0.16417910447761194,0.291
10,26,0.05,10000.0,0.4832214765102165,True,72.0,67,0.07462686567164178,0.292
10,26,0.05,50000.0,0.4899328859061933,True,73.0,67,0.08955223880597014,0.289
10,26,0.05,100000.0,0.46308724832230297,True,69.0,67,0.029850746268656716,0.286
10,26,0.05,500000.0,0.4697986577182718,True,70.0,67,0.04477611940298507,0.292
10,26,0.05,1000000.0,0.44966442953035024,True,67.0,67,0.0,0.29
10,26,0.01,0.05,5.758389261745075,False,,67,,0.289
10,26,0.01,0.01,6.536912751677962,False,,67,,0.294
10,26,0.01,0.5,4.55033557046991,False,,67,,0.288
10,26,0.01,1.0,3.275167785235009,False,,67,,0.29
10,26,0.01,5.0,2.5369127516779706,False,,67,,0.286
10,26,0.01,10.0,1.6375838926175845,False,,67,,0.296
10,26,0.01,50.0,0.6577181208055185,False,,67,,0.294
10,26,0.01,100.0,0.5033557046981496,True,75.0,67,0.11940298507462686,0.289
10,26,0.01,500.0,0.46979865771828333,True,70.0,67,0.04477611940298507,0.297
10,26,0.01,1000.0,0.5033557046981407,True,75.0,67,0.11940298507462686,0.293
10,26,0.01,5000.0,0.4765100671142477,True,71.0,67,0.05970149253731343,0.316
10,26,0.01,10000.0,0.4966442953021595,True,74.0,67,0.1044776119402985,0.295
10,26,0.01,50000.0,0.510067114094106,True,76.0,67,0.13432835820895522,0.292
10,26,0.01,100000.0,0.48322147651021385,True,72.0,67,0.07462686567164178,0.291
10,26,0.01,500000.0,0.48993288590619066,True,73.0,67,0.08955223880597014,0.294
10,26,0.01,1000000.0,0.4765100671142468,True,71.0,67,0.05970149253731343,0.293
10,26,0.5,0.5,5.147651006711523,False,,67,,0.296
10,26,0.5,1.0,3.5570469798658726,False,,67,,0.288
10,26,0.5,5.0,1.9060402684565245,False,,67,,0.298
10,26,0.5,10.0,1.3355704697988084,False,,67,,0.295
10,26,0.5,50.0,0.516778523490081,True,77.0,67,0.14925373134328357,0.296
10,26,0.5,100.0,0.489932885906196,True,73.0,67,0.08955223880597014,0.291
10,26,0.5,500.0,0.44966442953035024,True,67.0,67,0.0,0.284
10,26,0.5,1000.0,0.4630872483223021,True,69.0,67,0.029850746268656716,0.294
10,26,0.5,5000.0,0.49664429530217546,True,74.0,67,0.1044776119402985,0.293
10,26,0.5,10000.0,0.4832214765102254,True,72.0,67,0.07462686567164178,0.295
10,26,0.5,50000.0,0.4630872483223003,True,69.0,67,0.029850746268656716,0.291
10,26,0.5,100000.0,0.4496644295303609,True,67.0,67,0.0,0.291
10,26,0.5,500000.0,0.48322147651021563,True,72.0,67,0.07462686567164178,0.288
10,26,0.5,1000000.0,0.46308724832228965,True,69.0,67,0.029850746268656716,0.296
10,26,1.0,1.0,4.637583892617558,False,,67,,0.293
10,26,1.0,5.0,1.9328859060403856,False,,67,,0.293
10,26,1.0,10.0,1.4026845637585144,False,,67,,0.293
