n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
15,52,3,PathIntegralAnnealingSampler,True,5,199.6,130.0,1.5353846153846153,3.768,5,10,500
15,53,4,PathIntegralAnnealingSampler,True,5,205.6,135.0,1.5229629629629629,3.783,5,10,500
15,51,5,PathIntegralAnnealingSampler,True,5,194.4,125.0,1.5552000000000001,3.768,5,10,500
15,51,6,PathIntegralAnnealingSampler,True,5,190.0,125.0,1.52,3.716,5,10,500
15,45,7,PathIntegralAnnealingSampler,True,5,175.8,128.3015133988632,1.3702098700385064,3.764,5,10,500
15,44,8,PathIntegralAnnealingSampler,True,5,179.8,120.09240222499979,1.497180476606128,3.725,5,10,500
15,55,9,PathIntegralAnnealingSampler,True,5,210.8,145.0,1.4537931034482758,3.758,5,10,500
15,50,10,PathIntegralAnnealingSampler,True,5,194.0,120.00000000000006,1.6166666666666658,3.72,5,10,500
15,54,11,PathIntegralAnnealingSampler,True,5,218.8,146.03235648319463,1.4982980845425133,3.706,5,10,500
15,54,12,PathIntegralAnnealingSampler,True,5,209.2,140.0,1.4942857142857142,3.747,5,10,500
15,55,13,PathIntegralAnnealingSampler,True,5,219.2,149.06043865626646,1.4705444447636133,3.764,5,10,500
15,46,14,PathIntegralAnnealingSampler,True,5,157.2,104.00000000000006,1.5115384615384606,3.715,5,10,500
15,53,15,PathIntegralAnnealingSampler,True,5,207.4,135.0,1.5362962962962963,3.706,5,10,500
15,46,16,PathIntegralAnnealingSampler,True,5,173.8,104.00000000000006,1.6711538461538453,3.751,5,10,500
15,50,17,PathIntegralAnnealingSampler,True,5,187.0,120.00000000000006,1.5583333333333327,3.721,5,10,500
15,50,18,PathIntegralAnnealingSampler,True,5,194.2,120.38148166294452,1.6132049324973383,3.78,5,10,500
15,50,19,PathIntegralAnnealingSampler,True,5,191.6,120.00000000000006,1.5966666666666658,3.706,5,10,500
15,50,20,PathIntegralAnnealingSampler,True,5,174.4,120.00000000000006,1.4533333333333327,3.754,5,10,500
15,60,21,PathIntegralAnnealingSampler,True,5,254.8,170.0,1.4988235294117647,3.77,5,10,500
15,54,22,PathIntegralAnnealingSampler,True,5,218.2,140.0,1.5585714285714285,3.746,5,10,500
15,50,23,PathIntegralAnnealingSampler,True,5,196.4,131.60900488769335,1.4922991034511288,3.751,5,10,500
15,57,24,PathIntegralAnnealingSampler,True,5,231.0,155.0,1.4903225806451612,3.75,5,10,500
15,48,25,PathIntegralAnnealingSampler,True,5,185.4,115.97929363272009,1.5985612103063795,3.727,5,10,500
15,58,26,PathIntegralAnnealingSampler,True,5,234.6,165.2615534362208,1.419567922012417,3.779,5,10,500
15,49,27,PathIntegralAnnealingSampler,True,5,179.2,116.00000000000006,1.5448275862068956,3.708,5,10,500
15,55,28,PathIntegralAnnealingSampler,True,5,216.8,145.0,1.4951724137931035,3.736,5,10,500
15,53,29,PathIntegralAnnealingSampler,True,5,210.6,140.06484781312813,1.5035892537503666,3.769,5,10,500
15,45,30,PathIntegralAnnealingSampler,True,5,162.4,100.00000000000006,1.6239999999999992,3.741,5,10,500
15,55,31,PathIntegralAnnealingSampler,True,5,222.4,145.0,1.533793103448276,3.761,5,10,500
15,57,32,PathIntegralAnnealingSampler,True,5,231.4,155.0,1.4929032258064516,3.718,5,10,500
15,53,33,PathIntegralAnnealingSampler,True,5,199.0,135.0,1.474074074074074,3.748,5,10,500
15,38,34,PathIntegralAnnealingSampler,True,5,137.0,73.97972910718417,1.8518586328088613,3.737,5,10,500
15,50,35,PathIntegralAnnealingSampler,True,5,196.8,120.00000000000006,1.6399999999999992,3.718,5,10,500
15,51,36,PathIntegralAnnealingSampler,True,5,202.0,125.0,1.616,3.718,5,10,500
15,56,37,PathIntegralAnnealingSampler,True,5,223.6,150.0,1.4906666666666666,3.833,5,10,500
15,53,38,PathIntegralAnnealingSampler,True,5,205.8,135.0,1.5244444444444445,4.024,5,10,500
15,48,39,PathIntegralAnnealingSampler,True,5,184.0,112.00000000000006,1.6428571428571421,4.119,5,10,500
15,58,40,PathIntegralAnnealingSampler,True,5,229.0,160.0,1.43125,3.965,5,10,500
15,61,41,PathIntegralAnnealingSampler,True,5,242.8,176.0,1.3795454545454546,3.888,5,10,500
15,55,42,PathIntegralAnnealingSampler,True,5,217.6,145.0,1.5006896551724138,4.171,5,10,500
15,55,43,PathIntegralAnnealingSampler,True,5,224.8,153.7294979104635,1.4623088155204282,4.186,5,10,500
