n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
15,48,98,PathIntegralAnnealingSampler,lucas,True,5,167.2,112.00000000000006,1.492857142857142,11.468,5,10,1000,geometric,0.5,5.0
15,48,98,PathIntegralAnnealingSampler,exact,True,5,233.4,112.00000000000006,2.0839285714285705,10.958,5,10,1000,geometric,0.01,10.0
15,57,99,PathIntegralAnnealingSampler,lucas,True,5,213.4,155.0,1.376774193548387,11.299,5,10,1000,geometric,0.5,5.0
15,57,99,PathIntegralAnnealingSampler,exact,True,5,279.4,155.0,1.8025806451612902,10.999,5,10,1000,geometric,0.01,10.0
20,98,0,PathIntegralAnnealingSampler,lucas,False,0,,323.0000000000001,,24.085,5,10,1000,geometric,0.5,5.0
20,98,0,PathIntegralAnnealingSampler,exact,True,5,685.8,323.0000000000001,2.123219814241485,23.234,5,10,1000,geometric,0.01,10.0
20,87,1,PathIntegralAnnealingSampler,lucas,True,5,438.6,275.4245282778259,1.5924507622559163,24.38,5,10,1000,geometric,0.5,5.0
20,87,1,PathIntegralAnnealingSampler,exact,True,4,592.25,275.4245282778259,2.150316835262349,23.239,5,10,1000,geometric,0.01,10.0
20,96,2,PathIntegralAnnealingSampler,lucas,True,5,515.2,333.9656616440207,1.5426735714798125,23.572,5,10,1000,geometric,0.5,5.0
20,96,2,PathIntegralAnnealingSampler,exact,True,5,639.4,333.9656616440207,1.9145680931758384,22.999,5,10,1000,geometric,0.01,10.0
20,96,3,PathIntegralAnnealingSampler,lucas,True,5,486.6,359.17824201573745,1.3547591225714601,23.885,5,10,1000,geometric,0.5,5.0
20,96,3,PathIntegralAnnealingSampler,exact,True,5,634.8,359.17824201573745,1.7673676346246667,23.2,5,10,1000,geometric,0.01,10.0
20,78,4,PathIntegralAnnealingSampler,lucas,True,5,374.6,243.25096155253172,1.5399733575939125,24.027,5,10,1000,geometric,0.5,5.0
20,78,4,PathIntegralAnnealingSampler,exact,True,5,533.8,243.25096155253172,2.1944414796679936,23.187,5,10,1000,geometric,0.01,10.0
20,95,5,PathIntegralAnnealingSampler,lucas,True,3,492.0,305.0,1.6131147540983606,24.007,5,10,1000,geometric,0.5,5.0
20,95,5,PathIntegralAnnealingSampler,exact,True,5,667.2,305.0,2.1875409836065574,23.75,5,10,1000,geometric,0.01,10.0
20,99,6,PathIntegralAnnealingSampler,lucas,True,5,510.0,365.6524809773818,1.394766961889005,23.772,5,10,1000,geometric,0.5,5.0
20,99,6,PathIntegralAnnealingSampler,exact,True,5,665.6,365.6524809773818,1.8203076271241603,23.504,5,10,1000,geometric,0.01,10.0
20,92,7,PathIntegralAnnealingSampler,lucas,True,3,466.6666666666667,287.0,1.6260162601626016,24.08,5,10,1000,geometric,0.5,5.0
20,92,7,PathIntegralAnnealingSampler,exact,True,4,623.5,287.0,2.172473867595819,23.114,5,10,1000,geometric,0.01,10.0
20,93,8,PathIntegralAnnealingSampler,lucas,True,5,475.2,322.9065976011016,1.4716329846782257,24.126,5,10,1000,geometric,0.5,5.0
20,93,8,PathIntegralAnnealingSampler,exact,True,4,616.0,322.9065976011016,1.9076723875458481,23.102,5,10,1000,geometric,0.01,10.0
20,87,9,PathIntegralAnnealingSampler,lucas,True,4,419.25,257.0,1.6313229571984436,23.787,5,10,1000,geometric,0.5,5.0
20,87,9,PathIntegralAnnealingSampler,exact,True,5,562.2,257.0,2.187548638132296,23.087,5,10,1000,geometric,0.01,10.0
20,91,10,PathIntegralAnnealingSampler,lucas,True,5,454.6,316.5249506777438,1.4362216912967198,24.163,5,10,1000,geometric,0.5,5.0
20,91,10,PathIntegralAnnealingSampler,exact,True,5,611.4,316.5249506777438,1.9316012803757467,23.591,5,10,1000,geometric,0.01,10.0
20,101,11,PathIntegralAnnealingSampler,lucas,True,1,515.0,343.0,1.501457725947522,23.256,5,10,1000,geometric,0.5,5.0
20,101,11,PathIntegralAnnealingSampler,exact,True,5,668.8,343.0,1.9498542274052477,23.029,5,10,1000,geometric,0.01,10.0
20,94,12,PathIntegralAnnealingSampler,lucas,True,5,464.8,317.5725368772195,1.463602629404009,24.193,5,10,1000,geometric,0.5,5.0
20,94,12,PathIntegralAnnealingSampler,exact,True,4,630.5,317.5725368772195,1.9853731881222625,23.019,5,10,1000,geometric,0.01,10.0
20,93,13,PathIntegralAnnealingSampler,lucas,True,5,485.2,350.1195543807781,1.3858123430384384,24.02,5,10,1000,geometric,0.5,5.0
20,93,13,PathIntegralAnnealingSampler,exact,True,2,637.5,350.1195543807781,1.820806613122433,23.215,5,10,1000,geometric,0.01,10.0
20,102,14,PathIntegralAnnealingSampler,lucas,True,5,516.8,365.9228588054341,1.412319530097433,24.215,5,10,1000,geometric,0.5,5.0
20,102,14,PathIntegralAnnealingSampler,exact,True,5,676.8,365.9228588054341,1.84957015861057,23.152,5,10,1000,geometric,0.01,10.0
20,92,15,PathIntegralAnnealingSampler,lucas,True,3,473.6666666666667,287.0,1.6504065040650406,24.156,5,10,1000,geometric,0.5,5.0
20,92,15,PathIntegralAnnealingSampler,exact,True,4,615.5,287.0,2.1445993031358883,23.178,5,10,1000,geometric,0.01,10.0
20,93,16,PathIntegralAnnealingSampler,lucas,True,5,459.0,293.8456849316441,1.5620443774996218,24.288,5,10,1000,geometric,0.5,5.0
20,93,16,PathIntegralAnnealingSampler,exact,True,5,629.4,293.8456849316441,2.141940590845887,23.145,5,10,1000,geometric,0.01,10.0
20,96,17,PathIntegralAnnealingSampler,lucas,True,5,498.6,337.0587429842088,1.4792673691996752,24.626,5,10,1000,geometric,0.5,5.0
20,96,17,PathIntegralAnnealingSampler,exact,True,5,642.4,337.0587429842088,1.9058992338023892,23.001,5,10,1000,geometric,0.01,10.0
20,90,18,PathIntegralAnnealingSampler,lucas,False,0,,275.0,,24.065,5,10,1000,geometric,0.5,5.0
