assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
101|001|011,3,3*mu_thermometer + 9*mu_bijective,3,9
101|001|100,2,2*mu_thermometer + 6*mu_bijective,2,6
101|001|101,1,3*mu_thermometer + 9*mu_bijective,3,9
101|001|110,3,2*mu_thermometer + 3*mu_bijective,2,3
101|001|111,2,2*mu_thermometer + 6*mu_bijective,2,6
101|010|000,5,2*mu_thermometer + 5*mu_bijective,2,5
101|010|001,4,3*mu_thermometer + 6*mu_bijective,3,6
101|010|010,6,3*mu_thermometer + 4*mu_bijective,3,4
101|010|011,5,3*mu_thermometer + 5*mu_bijective,3,5
101|010|100,4,2*mu_thermometer + 2*mu_bijective,2,2
101|010|101,3,3*mu_thermometer + 3*mu_bijective,3,3
101|010|110,5,2*mu_thermometer + 1*mu_bijective,2,1
101|010|111,4,2*mu_thermometer + 2*mu_bijective,2,2
101|011|000,4,2*mu_thermometer + 6*mu_bijective,2,6
101|011|001,3,3*mu_thermometer + 9*mu_bijective,3,9
101|011|010,5,3*mu_thermometer + 5*mu_bijective,3,5
101|011|011,4,3*mu_thermometer + 8*mu_bijective,3,8
101|011|100,3,2*mu_thermometer + 3*mu_bijective,2,3
101|011|101,2,3*mu_thermometer + 6*mu_bijective,3,6
101|011|110,4,2*mu_thermometer + 2*mu_bijective,2,2
101|011|111,3,2*mu_thermometer + 5*mu_bijective,2,5
101|100|000,3,1*mu_thermometer + 5*mu_bijective,1,5
101|100|001,2,2*mu_thermometer + 6*mu_bijective,2,6
101|100|010,4,2*mu_thermometer + 2*mu_bijective,2,2
101|100|011,3,2*mu_thermometer + 3*mu_bijective,2,3
101|100|100,2,1*mu_thermometer + 4*mu_bijective,1,4
101|100|101,1,2*mu_thermometer + 5*mu_bijective,2,5
101|100|110,3,1*mu_thermometer + 1*mu_bijective,1,1
101|100|111,2,1*mu_thermometer + 2*mu_bijective,1,2
101|101|000,2,2*mu_thermometer + 6*mu_bijective,2,6
