assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
0000|0000|0110|0111,5,2*mu_thermometer + 17*mu_bijective,2,17
0000|0000|0110|1000,3,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|0110|1001,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|0110|1010,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|0110|1011,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|0000|0110|1100,4,1*mu_thermometer + 12*mu_bijective,1,12
0000|0000|0110|1101,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|0000|0110|1110,5,1*mu_thermometer + 11*mu_bijective,1,11
0000|0000|0110|1111,6,1*mu_thermometer + 10*mu_bijective,1,10
0000|0000|0111|0000,3,1*mu_thermometer + 21*mu_bijective,1,21
0000|0000|0111|0001,4,2*mu_thermometer + 22*mu_bijective,2,22
0000|0000|0111|0010,4,2*mu_thermometer + 20*mu_bijective,2,20
0000|0000|0111|0011,5,2*mu_thermometer + 21*mu_bijective,2,21
0000|0000|0111|0100,4,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|0111|0101,5,3*mu_thermometer + 19*mu_bijective,3,19
0000|0000|0111|0110,5,2*mu_thermometer + 17*mu_bijective,2,17
0000|0000|0111|0111,6,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|0111|1000,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|0111|1001,5,2*mu_thermometer + 15*mu_bijective,2,15
0000|0000|0111|1010,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|0000|0111|1011,6,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|0111|1100,5,1*mu_thermometer + 11*mu_bijective,1,11
0000|0000|0111|1101,6,2*mu_thermometer + 12*mu_bijective,2,12
0000|0000|0111|1110,6,1*mu_thermometer + 10*mu_bijective,1,10
0000|0000|0111|1111,7,1*mu_thermometer + 11*mu_bijective,1,11
0000|0000|1000|0000,1,23*mu_bijective,0,23
0000|0000|1000|0001,2,1*mu_thermometer + 22*mu_bijective,1,22
0000|0000|1000|0010,2,1*mu_thermometer + 20*mu_bijective,1,20
0000|0000|1000|0011,3,1*mu_thermometer + 19*mu_bijective,1,19
0000|0000|1000|0100,2,1*mu_thermometer + 18*mu_bijective,1,18
0000|0000|1000|0101,3,2*mu_thermometer + 17*mu_bijective,2,17
0000|0000|1000|0110,3,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|1000|0111,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|1000|1000,2,18*mu_bijective,0,18
0000|0000|1000|1001,3,1*mu_thermometer + 17*mu_bijective,1,17
0000|0000|1000|1010,3,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|1000|1011,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|1000|1100,3,13*mu_bijective,0,13
0000|0000|1000|1101,4,1*mu_thermometer + 12*mu_bijective,1,12
0000|0000|1000|1110,4,10*mu_bijective,0,10
0000|0000|1000|1111,5,9*mu_bijective,0,9
0000|0000|1001|0000,2,1*mu_thermometer + 22*mu_bijective,1,22
0000|0000|1001|0001,3,2*mu_thermometer + 23*mu_bijective,2,23
0000|0000|1001|0010,3,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|1001|0011,4,2*mu_thermometer + 20*mu_bijective,2,20
0000|0000|1001|0100,3,2*mu_thermometer + 17*mu_bijective,2,17
0000|0000|1001|0101,4,3*mu_thermometer + 18*mu_bijective,3,18
0000|0000|1001|0110,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|1001|0111,5,2*mu_thermometer + 15*mu_bijective,2,15
0000|0000|1001|1000,3,1*mu_thermometer + 17*mu_bijective,1,17
0000|0000|1001|1001,4,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|1001|1010,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|1001|1011,5,2*mu_thermometer + 15*mu_bijective,2,15
0000|0000|1001|1100,4,1*mu_thermometer + 12*mu_bijective,1,12
0000|0000|1001|1101,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|0000|1001|1110,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|0000|1001|1111,6,1*mu_thermometer + 10*mu_bijective,1,10
0000|0000|1010|0000,2,1*mu_thermometer + 20*mu_bijective,1,20
0000|0000|1010|0001,3,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|1010|0010,3,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|1010|0011,4,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|1010|0100,3,2*mu_thermometer + 15*mu_bijective,2,15
0000|0000|1010|0101,4,3*mu_thermometer + 14*mu_bijective,3,14
0000|0000|1010|0110,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|1010|0111,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|0000|1010|1000,3,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|1010|1001,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|1010|1010,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|1010|1011,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|0000|1010|1100,4,1*mu_thermometer + 10*mu_bijective,1,10
0000|0000|1010|1101,5,2*mu_thermometer + 9*mu_bijective,2,9
0000|0000|1010|1110,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|0000|1010|1111,6,1*mu_thermometer + 8*mu_bijective,1,8
0000|0000|1011|0000,3,1*mu_thermometer + 19*mu_bijective,1,19
0000|0000|1011|0001,4,2*mu_thermometer + 20*mu_bijective,2,20
0000|0000|1011|0010,4,2*mu_thermometer + 18*mu_bijective,2,18
0000|0000|1011|0011,5,2*mu_thermometer + 19*mu_bijective,2,19
0000|0000|1011|0100,4,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|1011|0101,5,3*mu_thermometer + 15*mu_bijective,3,15
0000|0000|1011|0110,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|0000|1011|0111,6,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|1011|1000,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|1011|1001,5,2*mu_thermometer + 15*mu_bijective,2,15
0000|0000|1011|1010,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|0000|1011|1011,6,2*mu_thermometer + 14*mu_bijective,2,14
0000|0000|1011|1100,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|0000|1011|1101,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|0000|1011|1110,6,1*mu_thermometer + 8*mu_bijective,1,8
0000|0000|1011|1111,7,1*mu_thermometer + 9*mu_bijective,1,9
0000|0000|1100|0000,2,18*mu_bijective,0,18
0000|0000|1100|0001,3,1*mu_thermometer + 17*mu_bijective,1,17
0000|0000|1100|0010,3,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|1100|0011,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|0000|1100|0100,3,1*mu_thermometer + 15*mu_bijective,1,15
0000|0000|1100|0101,4,2*mu_thermometer + 14*mu_bijective,2,14
