solver_name,beta_schedule_type,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
QWaveSampler_linear,linear,6,16,5,exact,21,21,6.0,6,6,True,0.132110595703125
QWaveSampler_linear,linear,6,17,8,exact,28,28,14.0,14,14,True,0.13921880722045898
QWaveSampler_linear,linear,6,18,7,exact,26,26,11.0,11,11,True,0.1359093189239502
QWaveSampler_linear,linear,6,19,6,exact,24,24,8.0,8,8,True,0.13402032852172852
QWaveSampler_linear,linear,6,20,9,exact,30,30,15.0,15,13,True,0.13501381874084473
QWaveSampler_linear,linear,6,21,9,exact,30,30,17.0,17,17,True,0.13301515579223633
QWaveSampler_linear,linear,6,22,6,exact,24,24,7.0,7,7,True,0.13551020622253418
QWaveSampler_linear,linear,6,23,11,exact,33,33,21.0,21,21,True,0.1349344253540039
QWaveSampler_linear,linear,6,24,9,exact,30,30,17.0,17,15,True,0.13232016563415527
QWaveSampler_linear,linear,6,25,10,exact,32,32,19.0,19,17,True,0.13301897048950195
QWaveSampler_linear,linear,6,26,9,exact,30,30,17.0,17,15,True,0.1345536708831787
QWaveSampler_linear,linear,6,27,6,exact,24,24,10.0,10,8,True,0.13482236862182617
QWaveSampler_linear,linear,6,28,7,exact,26,26,12.0,12,10,True,0.135512113571167
QWaveSampler_linear,linear,6,29,9,exact,30,30,18.0,18,16,True,0.13451719284057617
QWaveSampler_linear,linear,6,30,8,exact,28,28,15.0,15,13,True,0.1336839199066162
QWaveSampler_linear,linear,6,31,6,exact,24,24,10.0,10,8,True,0.13610029220581055
QWaveSampler_linear,linear,6,32,6,exact,24,24,8.0,8,8,True,0.13514423370361328
QWaveSampler_linear,linear,6,33,5,exact,21,21,8.0,8,6,True,0.13351178169250488
QWaveSampler_linear,linear,6,34,9,exact,30,30,18.0,18,16,True,0.13502025604248047
QWaveSampler_linear,linear,6,35,7,exact,26,26,13.0,13,11,True,0.14765310287475586
QWaveSampler_linear,linear,6,36,10,exact,32,32,19.0,19,19,True,0.13475871086120605
QWaveSampler_linear,linear,6,37,10,exact,32,32,19.0,19,19,True,0.1366419792175293
QWaveSampler_linear,linear,6,38,5,exact,21,21,5.0,5,5,True,0.13383197784423828
QWaveSampler_linear,linear,6,39,7,exact,26,26,11.0,11,13,True,0.13350939750671387
QWaveSampler_linear,linear,6,40,7,exact,26,26,13.0,13,12,True,0.13463592529296875
QWaveSampler_linear,linear,6,41,8,exact,28,28,16.0,16,15,True,0.13471198081970215
QWaveSampler_linear,linear,6,42,8,exact,28,28,15.0,15,13,True,0.13533997535705566
QWaveSampler_linear,linear,6,43,10,exact,32,32,18.0,18,16,True,0.13422417640686035
QWaveSampler_linear,linear,6,44,8,exact,28,28,11.0,11,11,True,0.1345670223236084
QWaveSampler_linear,linear,6,45,10,exact,32,32,20.0,20,19,True,0.1345534324645996
QWaveSampler_linear,linear,6,46,8,exact,28,28,13.0,13,14,True,0.134016752243042
QWaveSampler_linear,linear,6,47,10,exact,32,32,20.0,20,18,True,0.13501429557800293
QWaveSampler_linear,linear,6,48,10,exact,32,32,19.0,19,19,True,0.13360881805419922
QWaveSampler_linear,linear,6,49,7,exact,26,26,11.0,11,9,True,0.1361064910888672
QWaveSampler_exponential,exponential,6,0,6,exact,24,24,8.0,8,8,True,0.15546894073486328
QWaveSampler_exponential,exponential,6,1,7,exact,26,26,13.0,13,9,True,0.1461653709411621
QWaveSampler_exponential,exponential,6,2,7,exact,26,26,13.0,13,11,True,0.1450204849243164
QWaveSampler_exponential,exponential,6,3,7,exact,26,26,13.0,13,11,True,0.15011072158813477
QWaveSampler_exponential,exponential,6,4,6,exact,24,24,10.0,10,7,True,0.1481020450592041
QWaveSampler_exponential,exponential,6,5,8,exact,28,28,13.0,13,13,True,0.14801549911499023
QWaveSampler_exponential,exponential,6,6,7,exact,26,26,11.0,11,10,True,0.14919662475585938
