n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
15,51,76,SimulatedAnnealingSampler,exact,True,4,255.0,125.0,2.04,0.089,5,10,1000,geometric,0.01,0.1
15,45,77,SimulatedAnnealingSampler,lucas,True,5,168.6,100.69665652723057,1.674335631535163,0.124,5,10,1000,linear,0.1,0.5
15,45,77,SimulatedAnnealingSampler,exact,True,5,232.2,100.69665652723057,2.305935549480812,0.088,5,10,1000,geometric,0.01,0.1
15,41,78,SimulatedAnnealingSampler,lucas,True,4,141.0,84.00000000000006,1.6785714285714275,0.127,5,10,1000,linear,0.1,0.5
15,41,78,SimulatedAnnealingSampler,exact,True,5,195.6,84.00000000000006,2.328571428571427,0.082,5,10,1000,geometric,0.01,0.1
15,54,79,SimulatedAnnealingSampler,lucas,True,5,210.4,140.0,1.502857142857143,0.11,5,10,1000,linear,0.1,0.5
15,54,79,SimulatedAnnealingSampler,exact,True,1,276.0,140.0,1.9714285714285715,0.083,5,10,1000,geometric,0.01,0.1
15,47,80,SimulatedAnnealingSampler,lucas,True,5,170.0,108.00000000000006,1.5740740740740733,0.114,5,10,1000,linear,0.1,0.5
15,47,80,SimulatedAnnealingSampler,exact,True,4,236.75,108.00000000000006,2.1921296296296284,0.082,5,10,1000,geometric,0.01,0.1
15,63,81,SimulatedAnnealingSampler,lucas,True,5,262.8,188.0,1.397872340425532,0.112,5,10,1000,linear,0.1,0.5
15,63,81,SimulatedAnnealingSampler,exact,True,2,333.5,188.0,1.773936170212766,0.072,5,10,1000,geometric,0.01,0.1
15,49,82,SimulatedAnnealingSampler,lucas,True,5,192.8,130.11076143410978,1.481814400860586,0.122,5,10,1000,linear,0.1,0.5
15,49,82,SimulatedAnnealingSampler,exact,True,4,251.5,130.11076143410978,1.932968474151646,0.079,5,10,1000,geometric,0.01,0.1
15,53,83,SimulatedAnnealingSampler,lucas,True,5,206.6,135.0,1.5303703703703704,0.113,5,10,1000,linear,0.1,0.5
15,53,83,SimulatedAnnealingSampler,exact,True,4,268.5,135.0,1.988888888888889,0.084,5,10,1000,geometric,0.01,0.1
15,49,84,SimulatedAnnealingSampler,lucas,True,5,179.6,116.00000000000006,1.5482758620689647,0.11,5,10,1000,linear,0.1,0.5
15,49,84,SimulatedAnnealingSampler,exact,True,4,245.25,116.00000000000006,2.1142241379310334,0.086,5,10,1000,geometric,0.01,0.1
15,45,85,SimulatedAnnealingSampler,lucas,True,4,166.25,100.00000000000006,1.662499999999999,0.117,5,10,1000,linear,0.1,0.5
15,45,85,SimulatedAnnealingSampler,exact,True,5,223.8,100.00000000000006,2.2379999999999987,0.079,5,10,1000,geometric,0.01,0.1
15,58,86,SimulatedAnnealingSampler,lucas,True,5,232.8,160.0,1.455,0.112,5,10,1000,linear,0.1,0.5
15,58,86,SimulatedAnnealingSampler,exact,True,3,322.0,160.0,2.0125,0.076,5,10,1000,geometric,0.01,0.1
15,56,87,SimulatedAnnealingSampler,lucas,True,5,216.8,150.0,1.4453333333333334,0.111,5,10,1000,linear,0.1,0.5
15,56,87,SimulatedAnnealingSampler,exact,True,3,290.3333333333333,150.0,1.9355555555555555,0.079,5,10,1000,geometric,0.01,0.1
15,49,88,SimulatedAnnealingSampler,lucas,True,5,179.4,116.00000000000006,1.5465517241379303,0.114,5,10,1000,linear,0.1,0.5
15,49,88,SimulatedAnnealingSampler,exact,True,4,266.75,116.00000000000006,2.29956896551724,0.078,5,10,1000,geometric,0.01,0.1
15,56,89,SimulatedAnnealingSampler,lucas,False,0,,150.0,,0.117,5,10,1000,linear,0.1,0.5
15,56,89,SimulatedAnnealingSampler,exact,True,1,313.0,150.0,2.0866666666666664,0.077,5,10,1000,geometric,0.01,0.1
15,55,90,SimulatedAnnealingSampler,lucas,True,5,214.2,145.0,1.4772413793103447,0.111,5,10,1000,linear,0.1,0.5
15,55,90,SimulatedAnnealingSampler,exact,True,1,309.0,145.0,2.1310344827586207,0.076,5,10,1000,geometric,0.01,0.1
