n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
10,29,35,SimulatedAnnealingSampler,True,5,82.4,66.00000000000001,1.2484848484848483,0.042,5,10,1000
10,20,36,SimulatedAnnealingSampler,True,5,48.2,34.0,1.4176470588235295,0.042,5,10,1000
10,18,37,SimulatedAnnealingSampler,True,5,42.6,29.0,1.4689655172413794,0.042,5,10,1000
10,22,38,SimulatedAnnealingSampler,True,5,48.6,40.0,1.215,0.042,5,10,1000
10,17,39,SimulatedAnnealingSampler,True,5,33.0,28.0,1.1785714285714286,0.042,5,10,1000
10,25,40,SimulatedAnnealingSampler,True,5,58.2,50.000000000000014,1.1639999999999997,0.042,5,10,1000
10,23,41,SimulatedAnnealingSampler,True,5,59.2,43.0,1.3767441860465117,0.042,5,10,1000
10,19,42,SimulatedAnnealingSampler,True,5,42.8,32.0,1.3375,0.042,5,10,1000
10,23,43,SimulatedAnnealingSampler,True,5,58.8,43.0,1.3674418604651162,0.042,5,10,1000
10,19,44,SimulatedAnnealingSampler,True,5,41.2,32.0,1.2875,0.042,5,10,1000
10,22,45,SimulatedAnnealingSampler,True,5,45.0,40.0,1.125,0.042,5,10,1000
10,22,46,SimulatedAnnealingSampler,True,5,48.4,40.0,1.21,0.042,5,10,1000
10,22,47,SimulatedAnnealingSampler,True,5,51.0,40.0,1.275,0.042,5,10,1000
10,30,48,SimulatedAnnealingSampler,True,5,85.2,70.00000000000001,1.2171428571428569,0.042,5,10,1000
10,24,49,SimulatedAnnealingSampler,True,5,65.4,46.0,1.4217391304347828,0.042,5,10,1000
10,16,50,SimulatedAnnealingSampler,True,5,34.0,27.0,1.2592592592592593,0.042,5,10,1000
10,28,51,SimulatedAnnealingSampler,True,5,78.4,62.000000000000014,1.264516129032258,0.042,5,10,1000
10,24,52,SimulatedAnnealingSampler,True,5,59.4,46.0,1.2913043478260868,0.042,5,10,1000
10,21,53,SimulatedAnnealingSampler,True,5,52.2,37.0,1.4108108108108108,0.042,5,10,1000
10,21,54,SimulatedAnnealingSampler,True,5,49.4,37.0,1.335135135135135,0.042,5,10,1000
10,28,55,SimulatedAnnealingSampler,True,5,75.6,62.000000000000014,1.219354838709677,0.042,5,10,1000
10,23,56,SimulatedAnnealingSampler,True,5,53.4,43.0,1.241860465116279,0.05,5,10,1000
10,18,57,SimulatedAnnealingSampler,True,5,39.0,31.0,1.2580645161290323,0.042,5,10,1000
10,21,58,SimulatedAnnealingSampler,True,5,48.2,37.0,1.3027027027027027,0.042,5,10,1000
10,24,59,SimulatedAnnealingSampler,True,5,63.2,46.0,1.373913043478261,0.042,5,10,1000
10,23,60,SimulatedAnnealingSampler,True,5,60.8,43.0,1.413953488372093,0.042,5,10,1000
10,26,61,SimulatedAnnealingSampler,True,5,67.0,54.000000000000014,1.2407407407407405,0.042,5,10,1000
10,25,62,SimulatedAnnealingSampler,True,5,67.0,50.000000000000014,1.3399999999999996,0.042,5,10,1000
10,19,63,SimulatedAnnealingSampler,True,5,43.6,32.0,1.3625,0.042,5,10,1000
10,17,64,SimulatedAnnealingSampler,True,5,35.2,27.0,1.3037037037037038,0.042,5,10,1000
10,24,65,SimulatedAnnealingSampler,True,5,63.0,46.0,1.3695652173913044,0.042,5,10,1000
10,30,66,SimulatedAnnealingSampler,True,5,84.6,70.00000000000001,1.2085714285714282,0.043,5,10,1000
10,17,67,SimulatedAnnealingSampler,True,5,38.8,29.0,1.3379310344827586,0.042,5,10,1000
10,25,68,SimulatedAnnealingSampler,True,5,64.6,50.000000000000014,1.2919999999999996,0.042,5,10,1000
10,20,69,SimulatedAnnealingSampler,True,5,49.8,34.0,1.464705882352941,0.042,5,10,1000
10,21,70,SimulatedAnnealingSampler,True,5,44.2,37.0,1.1945945945945946,0.042,5,10,1000
10,18,71,SimulatedAnnealingSampler,True,5,34.2,28.0,1.2214285714285715,0.042,5,10,1000
10,25,72,SimulatedAnnealingSampler,True,5,66.0,50.000000000000014,1.3199999999999996,0.042,5,10,1000
10,22,73,SimulatedAnnealingSampler,True,5,56.2,40.0,1.405,0.042,5,10,1000
10,27,74,SimulatedAnnealingSampler,True,5,75.4,58.000000000000014,1.2999999999999998,0.042,5,10,1000
10,24,75,SimulatedAnnealingSampler,True,5,59.8,46.0,1.3,0.042,5,10,1000
10,22,76,SimulatedAnnealingSampler,True,5,52.2,40.0,1.3050000000000002,0.042,5,10,1000
10,25,77,SimulatedAnnealingSampler,True,5,62.4,50.000000000000014,1.2479999999999996,0.042,5,10,1000
10,16,78,SimulatedAnnealingSampler,True,5,33.0,28.0,1.1785714285714286,0.042,5,10,1000
10,19,79,SimulatedAnnealingSampler,True,5,43.4,31.0,1.4,0.042,5,10,1000
10,22,80,SimulatedAnnealingSampler,True,5,55.6,40.0,1.3900000000000001,0.042,5,10,1000
10,19,81,SimulatedAnnealingSampler,True,5,41.6,31.0,1.3419354838709678,0.042,5,10,1000
10,18,82,SimulatedAnnealingSampler,True,5,35.0,31.0,1.1290322580645162,0.042,5,10,1000
10,27,83,SimulatedAnnealingSampler,True,5,74.4,58.000000000000014,1.2827586206896548,0.042,5,10,1000
10,23,84,SimulatedAnnealingSampler,True,5,55.4,43.0,1.2883720930232558,0.042,5,10,1000
10,23,85,SimulatedAnnealingSampler,True,5,54.8,43.0,1.2744186046511627,0.042,5,10,1000
10,24,86,SimulatedAnnealingSampler,True,5,58.8,46.0,1.2782608695652173,0.042,5,10,1000
10,22,87,SimulatedAnnealingSampler,True,5,53.4,40.0,1.335,0.042,5,10,1000
10,23,88,SimulatedAnnealingSampler,True,5,51.0,43.0,1.186046511627907,0.042,5,10,1000
10,20,89,SimulatedAnnealingSampler,True,5,47.4,34.0,1.3941176470588235,0.042,5,10,1000
10,22,90,SimulatedAnnealingSampler,True,5,58.2,40.0,1.455,0.042,5,10,1000
10,24,91,SimulatedAnnealingSampler,True,5,57.0,46.0,1.2391304347826086,0.042,5,10,1000
10,23,92,SimulatedAnnealingSampler,True,5,55.4,43.0,1.2883720930232558,0.042,5,10,1000
10,27,93,SimulatedAnnealingSampler,True,5,69.4,58.000000000000014,1.1965517241379309,0.042,5,10,1000
10,25,94,SimulatedAnnealingSampler,True,5,62.8,50.000000000000014,1.2559999999999996,0.042,5,10,1000
10,26,95,SimulatedAnnealingSampler,True,5,69.8,54.000000000000014,1.2925925925925923,0.042,5,10,1000
10,24,96,SimulatedAnnealingSampler,True,5,60.2,46.0,1.308695652173913,0.042,5,10,1000
10,25,97,SimulatedAnnealingSampler,True,5,63.2,50.000000000000014,1.2639999999999998,0.042,5,10,1000
10,21,98,SimulatedAnnealingSampler,True,5,55.6,37.619145031507024,1.477970856419877,0.042,5,10,1000
10,25,99,SimulatedAnnealingSampler,True,5,58.4,50.000000000000014,1.1679999999999997,0.042,5,10,1000
15,52,0,SimulatedAnnealingSampler,True,4,190.75,130.0,1.4673076923076922,0.092,5,10,1000
15,57,1,SimulatedAnnealingSampler,True,5,216.6,158.44971975379113,1.3669951599571544,0.091,5,10,1000
15,48,2,SimulatedAnnealingSampler,True,5,175.4,117.12997260862763,1.4974817810815426,0.092,5,10,1000
15,52,3,SimulatedAnnealingSampler,True,5,197.8,130.0,1.5215384615384617,0.092,5,10,1000
15,53,4,SimulatedAnnealingSampler,True,5,203.0,135.0,1.5037037037037038,0.093,5,10,1000
15,51,5,SimulatedAnnealingSampler,True,5,190.4,125.0,1.5232,0.093,5,10,1000
15,51,6,SimulatedAnnealingSampler,True,5,180.6,125.0,1.4447999999999999,0.092,5,10,1000
15,45,7,SimulatedAnnealingSampler,True,5,169.6,128.3015133988632,1.3218861999916418,0.092,5,10,1000
15,44,8,SimulatedAnnealingSampler,True,5,176.0,120.09240222499979,1.4655381750983232,0.092,5,10,1000
15,55,9,SimulatedAnnealingSampler,True,5,209.8,145.0,1.4468965517241381,0.093,5,10,1000
15,50,10,SimulatedAnnealingSampler,True,5,191.4,120.00000000000006,1.5949999999999993,0.092,5,10,1000
15,54,11,SimulatedAnnealingSampler,True,5,216.8,146.03235648319463,1.4846024896198213,0.093,5,10,1000
15,54,12,SimulatedAnnealingSampler,True,5,208.2,140.0,1.487142857142857,0.092,5,10,1000
15,55,13,SimulatedAnnealingSampler,True,5,216.2,149.06043865626646,1.4504183802823594,0.092,5,10,1000
15,46,14,SimulatedAnnealingSampler,True,4,161.5,104.00000000000006,1.5528846153846145,0.092,5,10,1000
15,53,15,SimulatedAnnealingSampler,True,2,214.5,135.0,1.5888888888888888,0.092,5,10,1000
15,46,16,SimulatedAnnealingSampler,True,5,171.8,104.00000000000006,1.6519230769230762,0.092,5,10,1000
15,50,17,SimulatedAnnealingSampler,True,5,174.2,120.00000000000006,1.451666666666666,0.092,5,10,1000
15,50,18,SimulatedAnnealingSampler,True,5,190.4,120.38148166294452,1.5816386155895636,0.093,5,10,1000
15,50,19,SimulatedAnnealingSampler,True,5,185.2,120.00000000000006,1.5433333333333326,0.092,5,10,1000
15,50,20,SimulatedAnnealingSampler,True,5,169.0,120.00000000000006,1.4083333333333328,0.09,5,10,1000
15,60,21,SimulatedAnnealingSampler,True,5,249.6,170.0,1.468235294117647,0.094,5,10,1000
15,54,22,SimulatedAnnealingSampler,True,5,213.2,140.0,1.5228571428571427,0.092,5,10,1000
15,50,23,SimulatedAnnealingSampler,True,5,188.8,131.60900488769335,1.4345522949672767,0.091,5,10,1000
15,57,24,SimulatedAnnealingSampler,True,5,225.2,155.0,1.4529032258064516,0.092,5,10,1000
15,48,25,SimulatedAnnealingSampler,True,5,178.6,115.97929363272009,1.5399300548043116,0.093,5,10,1000
15,58,26,SimulatedAnnealingSampler,True,5,235.8,165.2615534362208,1.4268291390048082,0.092,5,10,1000
15,49,27,SimulatedAnnealingSampler,True,5,175.8,116.00000000000006,1.5155172413793097,0.092,5,10,1000
15,55,28,SimulatedAnnealingSampler,True,5,207.8,145.0,1.4331034482758622,0.092,5,10,1000
15,53,29,SimulatedAnnealingSampler,True,5,211.0,140.06484781312813,1.5064450737954767,0.093,5,10,1000
15,45,30,SimulatedAnnealingSampler,True,5,161.4,100.00000000000006,1.6139999999999992,0.092,5,10,1000
15,55,31,SimulatedAnnealingSampler,True,5,217.4,145.0,1.4993103448275862,0.092,5,10,1000
15,57,32,SimulatedAnnealingSampler,True,5,227.6,155.0,1.4683870967741934,0.091,5,10,1000
15,53,33,SimulatedAnnealingSampler,True,5,193.4,135.0,1.4325925925925926,0.092,5,10,1000
15,38,34,SimulatedAnnealingSampler,True,5,134.0,73.97972910718417,1.8113069839152367,0.091,5,10,1000
15,50,35,SimulatedAnnealingSampler,True,5,192.0,120.00000000000006,1.5999999999999992,0.092,5,10,1000
15,51,36,SimulatedAnnealingSampler,True,5,197.4,125.0,1.5792,0.092,5,10,1000
15,56,37,SimulatedAnnealingSampler,True,5,218.8,150.0,1.4586666666666668,0.092,5,10,1000
15,53,38,SimulatedAnnealingSampler,True,5,206.0,135.0,1.525925925925926,0.092,5,10,1000
15,48,39,SimulatedAnnealingSampler,True,5,185.0,112.00000000000006,1.6517857142857135,0.091,5,10,1000
15,58,40,SimulatedAnnealingSampler,True,5,218.4,160.0,1.365,0.092,5,10,1000
15,61,41,SimulatedAnnealingSampler,True,5,237.4,176.0,1.3488636363636364,0.092,5,10,1000
15,55,42,SimulatedAnnealingSampler,True,5,214.4,145.0,1.4786206896551723,0.093,5,10,1000
15,55,43,SimulatedAnnealingSampler,True,5,216.0,153.7294979104635,1.4050654099306605,0.092,5,10,1000
15,56,44,SimulatedAnnealingSampler,True,5,219.8,150.0,1.4653333333333334,0.092,5,10,1000
15,48,45,SimulatedAnnealingSampler,True,5,187.2,116.86219157325144,1.6018867820278682,0.093,5,10,1000
15,54,46,SimulatedAnnealingSampler,True,5,214.4,140.0,1.5314285714285714,0.092,5,10,1000
15,48,47,SimulatedAnnealingSampler,True,5,172.4,116.66655008145095,1.4777157623983794,0.092,5,10,1000
15,56,48,SimulatedAnnealingSampler,True,5,209.8,150.0,1.3986666666666667,0.092,5,10,1000
15,47,49,SimulatedAnnealingSampler,True,5,161.8,108.00000000000006,1.4981481481481476,0.092,5,10,1000
15,53,50,SimulatedAnnealingSampler,True,5,198.2,135.0,1.468148148148148,0.091,5,10,1000
15,52,51,SimulatedAnnealingSampler,True,5,190.8,130.0,1.4676923076923079,0.092,5,10,1000
15,51,52,SimulatedAnnealingSampler,True,5,200.8,130.30859168035425,1.5409574872281677,0.092,5,10,1000
15,51,53,SimulatedAnnealingSampler,True,5,197.4,125.0,1.5792,0.092,5,10,1000
15,51,54,SimulatedAnnealingSampler,True,5,190.4,125.0,1.5232,0.091,5,10,1000
15,61,55,SimulatedAnnealingSampler,True,5,245.0,176.0,1.3920454545454546,0.091,5,10,1000
15,52,56,SimulatedAnnealingSampler,True,5,176.8,130.0,1.36,0.095,5,10,1000
15,50,57,SimulatedAnnealingSampler,True,5,194.0,123.42284518898988,1.5718321814971905,0.092,5,10,1000
15,61,58,SimulatedAnnealingSampler,True,5,246.0,179.07195875278134,1.373749422932356,0.092,5,10,1000
15,57,59,SimulatedAnnealingSampler,True,5,238.6,155.0,1.5393548387096774,0.092,5,10,1000
15,52,60,SimulatedAnnealingSampler,True,5,195.4,130.0,1.5030769230769232,0.093,5,10,1000
15,42,61,SimulatedAnnealingSampler,True,5,155.2,88.70431474215995,1.7496330415394725,0.093,5,10,1000
15,51,62,SimulatedAnnealingSampler,True,5,199.6,125.0,1.5968,0.092,5,10,1000
15,56,63,SimulatedAnnealingSampler,True,5,219.8,150.0,1.4653333333333334,0.092,5,10,1000
15,51,64,SimulatedAnnealingSampler,True,5,202.6,125.0,1.6208,0.092,5,10,1000
15,56,65,SimulatedAnnealingSampler,True,5,226.4,150.0,1.5093333333333334,0.091,5,10,1000
15,49,66,SimulatedAnnealingSampler,True,5,186.2,116.00000000000006,1.6051724137931025,0.092,5,10,1000
15,57,67,SimulatedAnnealingSampler,True,5,218.0,155.0,1.4064516129032258,0.092,5,10,1000
15,56,68,SimulatedAnnealingSampler,True,5,234.8,160.87286447558742,1.4595376340528274,0.093,5,10,1000
